No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0.0,0.0,1.0,0.0,1.0,0.0,65.005,24.031,72.52,37.871,37.773,9.85,0.0,0.0
1,0.0,0.0,1.0,1.0,2.0,0.0,130.879,56.756,76.957,37.713,37.415,9.782,0.0,0.0
2,0.0,0.0,1.0,2.0,3.0,0.0,348.224,135.871,125.791,37.564,37.273,9.744,0.0,0.0
3,0.0,0.0,1.0,3.0,4.0,0.0,77.078,141.231,95.717,39.092,38.81,9.989,0.0,0.0
4,0.0,0.0,1.0,4.0,5.0,0.0,403.1,140.849,64.02,37.496,37.378,9.749,0.0,0.0
5,0.0,0.0,1.0,5.0,6.0,0.0,202.679,174.625,49.431,37.869,37.52,9.816,0.0,0.0
6,0.0,0.0,1.0,6.0,8.0,0.0,229.072,208.651,84.595,37.228,36.952,9.735,0.0,0.0
7,0.0,0.0,1.0,7.0,9.0,0.0,309.823,224.56,8.814,35.653,35.603,9.504,0.0,0.0
8,1.0,0.0,1.0,0.0,0.0,0.0,1145.716,89.3,117.571,37.566,37.337,9.753,0.0,0.0
9,1.0,0.0,1.0,1.0,2.0,0.0,701.283,280.799,-8.833,37.153,37.024,9.813,0.0,0.0
11,1.0,0.0,1.0,3.0,4.0,0.0,813.653,345.38,43.959,37.559,37.414,9.762,0.0,0.0
12,1.0,0.0,1.0,4.0,5.0,0.0,841.041,383.866,128.956,37.538,37.405,9.835,0.0,0.0
13,1.0,0.0,1.0,5.0,6.0,0.0,654.426,414.264,-4.504,38.31,37.005,9.807,0.0,0.0
14,2.0,0.0,1.0,0.0,0.0,0.0,1600.281,67.672,6.344,37.135,37.026,9.733,0.0,0.0
15,2.0,0.0,1.0,1.0,2.0,0.0,1561.523,178.39,-4.467,37.029,36.963,9.789,0.0,0.0
16,2.0,0.0,1.0,2.0,4.0,0.0,1365.251,283.448,57.17,37.453,37.368,9.819,0.0,0.0
17,2.0,0.0,1.0,3.0,6.0,0.0,1266.678,414.92,-4.338,37.912,36.086,9.635,0.0,0.0
19,3.0,0.0,1.0,1.0,1.0,0.0,1821.555,243.732,107.844,37.089,36.845,9.781,0.0,0.0
20,3.0,0.0,1.0,2.0,3.0,0.0,2059.572,338.177,127.54,36.972,36.847,9.766,0.0,0.0
21,3.0,0.0,1.0,3.0,4.0,0.0,2283.159,382.812,51.263,37.908,37.873,9.791,0.0,0.0
22,4.0,0.0,1.0,0.0,0.0,0.0,2572.683,64.946,107.773,37.312,36.846,9.732,0.0,0.0
23,4.0,0.0,1.0,1.0,1.0,0.0,2448.907,90.721,83.466,37.346,36.974,9.753,0.0,0.0
24,4.0,0.0,1.0,2.0,2.0,0.0,2681.753,109.996,128.245,37.291,36.737,9.793,0.0,0.0
25,4.0,0.0,1.0,3.0,3.0,0.0,2490.425,136.037,26.216,37.166,36.934,9.725,0.0,0.0
26,4.0,0.0,1.0,4.0,6.0,0.0,2684.141,324.47,-16.765,37.098,36.995,9.724,0.0,0.0
27,4.0,0.0,1.0,5.0,7.0,0.0,2559.708,365.349,-1.272,37.887,37.724,9.845,0.0,0.0
28,5.0,0.0,1.0,0.0,0.0,0.0,3435.785,29.78,-41.218,37.868,37.587,9.825,0.0,0.0
29,5.0,0.0,1.0,1.0,1.0,0.0,3380.583,61.486,-28.427,37.24,37.056,9.751,0.0,0.0
30,5.0,0.0,1.0,2.0,2.0,0.0,3279.892,96.684,60.724,37.482,37.386,9.748,0.0,0.0
32,5.0,0.0,1.0,4.0,4.0,0.0,2949.581,239.239,-0.255,37.729,37.419,9.863,0.0,0.0
33,5.0,0.0,1.0,5.0,5.0,0.0,3318.376,311.377,133.317,37.118,37.024,9.73,0.0,0.0
34,5.0,0.0,1.0,6.0,6.0,0.0,3212.15,330.478,3.202,37.009,36.93,9.782,0.0,0.0
35,5.0,0.0,1.0,7.0,7.0,0.0,2918.042,398.819,78.594,37.957,37.762,9.859,0.0,0.0
39,6.0,0.0,1.0,1.0,3.0,0.0,3691.654,155.973,121.28,37.417,37.045,9.772,0.0,0.0
40,6.0,0.0,1.0,2.0,5.0,0.0,4015.263,239.621,46.021,37.698,37.593,9.804,0.0,0.0
41,6.0,0.0,1.0,3.0,6.0,0.0,3579.664,305.987,-29.404,37.345,37.067,9.765,0.0,0.0
42,6.0,0.0,1.0,4.0,7.0,0.0,4023.389,310.573,-4.861,38.283,37.901,9.92,0.0,0.0
43,6.0,0.0,1.0,5.0,8.0,0.0,3870.618,323.13,5.978,37.406,37.153,9.785,0.0,0.0
44,6.0,0.0,1.0,6.0,9.0,0.0,3783.085,364.93,-3.27,36.949,36.748,9.75,0.0,0.0
45,7.0,0.0,1.0,0.0,0.0,0.0,4405.309,83.296,-15.285,37.069,36.962,9.716,0.0,0.0
46,7.0,0.0,1.0,1.0,2.0,0.0,4092.238,187.488,-20.047,37.551,37.165,9.728,0.0,0.0
47,7.0,0.0,1.0,2.0,5.0,0.0,4531.246,264.442,22.129,37.616,37.465,9.853,0.0,0.0
48,7.0,0.0,1.0,3.0,6.0,0.0,4424.483,280.242,114.388,36.692,36.287,9.654,0.0,0.0
49,7.0,0.0,1.0,4.0,7.0,0.0,4386.931,298.756,-1.581,36.55,36.41,9.652,0.0,0.0
50,7.0,0.0,1.0,5.0,9.0,0.0,4445.58,322.668,-4.692,37.037,36.958,9.711,0.0,0.0
51,8.0,0.0,1.0,0.0,2.0,0.0,5120.617,36.502,117.936,37.611,37.509,9.859,0.0,0.0
52,8.0,0.0,1.0,1.0,3.0,0.0,5010.684,336.084,134.158,37.421,37.277,9.803,0.0,0.0
53,8.0,0.0,1.0,2.0,4.0,0.0,4668.931,379.112,-18.877,38.036,37.681,9.859,0.0,0.0
59,9.0,0.0,1.0,5.0,7.0,0.0,5401.293,236.544,9.158,36.598,36.324,9.726,0.0,0.0
60,9.0,0.0,1.0,6.0,8.0,0.0,5456.717,302.845,83.05,37.701,37.52,9.872,0.0,0.0
61,9.0,0.0,1.0,7.0,9.0,0.0,5377.165,319.774,106.828,37.201,37.065,9.747,0.0,0.0
64,0.0,1.0,1.0,0.0,2.0,0.0,548.997,453.559,131.647,37.611,37.394,9.766,0.0,0.0
66,0.0,1.0,1.0,2.0,4.0,0.0,199.337,562.628,94.931,37.314,36.948,9.745,0.0,0.0
67,0.0,1.0,1.0,3.0,5.0,0.0,20.898,589.48,2.308,37.288,37.105,9.763,0.0,0.0
