No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0.0,0.0,0.0,0.0,1.0,0.0,66.73,20.256,59.171,36.409,35.921,9.647,0.0,0.0
1,0.0,0.0,0.0,1.0,2.0,0.0,132.46,50.519,60.993,36.482,35.904,9.654,0.0,0.0
2,0.0,0.0,0.0,2.0,3.0,0.0,350.119,133.224,-5.774,36.437,36.315,9.625,0.0,0.0
3,0.0,0.0,0.0,3.0,4.0,0.0,403.318,142.205,91.782,36.527,36.479,9.658,0.0,0.0
4,0.0,0.0,0.0,4.0,5.0,0.0,204.647,169.534,39.87,36.146,35.853,9.603,0.0,0.0
5,0.0,0.0,0.0,5.0,6.0,0.0,65.703,175.357,76.744,38.339,38.076,9.873,0.0,0.0
6,0.0,0.0,0.0,6.0,7.0,0.0,230.199,202.926,78.049,36.777,36.455,9.688,0.0,0.0
7,0.0,0.0,0.0,7.0,8.0,0.0,310.63,220.727,62.495,35.964,35.523,9.533,0.0,0.0
8,0.0,0.0,0.0,8.0,10.0,0.0,561.204,392.488,53.568,37.272,36.925,9.738,0.0,0.0
9,1.0,0.0,0.0,0.0,0.0,0.0,1148.513,85.691,102.302,36.563,36.291,9.638,0.0,0.0
10,1.0,0.0,0.0,1.0,1.0,0.0,846.71,142.558,67.055,35.982,34.893,9.614,0.0,0.0
11,1.0,0.0,0.0,2.0,1.0,0.0,876.816,126.615,62.806,36.082,35.25,9.677,0.0,0.0
12,1.0,0.0,0.0,3.0,2.0,0.0,700.029,283.794,123.324,36.232,36.035,9.718,0.0,0.0
14,1.0,0.0,0.0,5.0,4.0,0.0,813.952,342.763,78.424,36.492,36.263,9.703,0.0,0.0
15,1.0,0.0,0.0,6.0,5.0,0.0,843.861,384.612,83.291,36.345,35.92,9.638,0.0,0.0
17,1.0,0.0,0.0,8.0,7.0,0.0,651.371,413.872,64.916,36.885,36.788,9.992,0.0,0.0
18,2.0,0.0,0.0,0.0,0.0,0.0,1599.212,67.315,96.986,36.847,36.671,9.726,0.0,0.0
19,2.0,0.0,0.0,1.0,2.0,0.0,1564.29,178.232,34.311,36.371,36.042,9.658,0.0,0.0
