<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,1
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,0,0,0,0,94.31,42.668,128.765,37.036,36.882,9.701,0,0
1,0,0,0,1,2,0,551.783,59.268,110.001,37.43,37.216,9.796,0,0
2,0,0,0,2,5,0,412.341,164.543,83.199,37.221,36.948,9.734,0,0
3,0,0,0,3,6,0,366.979,229.34,76.416,37.336,36.913,9.744,0,0
4,0,0,0,4,8,0,508.659,304.388,71.702,38.917,38.695,9.951,0,0
5,1,0,0,0,3,0,1046.507,42.819,64.728,36.882,36.32,9.683,0,0
6,1,0,0,1,4,0,1083.948,155.735,85.976,38.26,38.006,9.854,0,0
7,1,0,0,2,5,0,881.389,208.811,79.299,37.381,37.002,9.762,0,0
8,1,0,0,3,6,0,1149.78,231.117,63.159,37.984,37.756,9.862,0,0
9,1,0,0,4,7,0,908.579,251.184,48.728,36.828,36.755,9.734,0,0
10,1,0,0,5,8,0,733.081,279.1,81.072,37.083,36.616,9.75,0,0
11,1,0,0,6,9,0,707.314,386.404,31.628,38.145,37.994,9.837,0,0
12,1,0,0,7,10,0,851.71,402.114,100.563,38.763,38.497,9.982,0,0
13,2,0,0,0,0,0,1685.32,25.962,117.514,37.639,37.373,9.767,0,0
14,2,0,0,1,1,0,1437.135,71.636,96.935,36.81,36.518,9.624,0,0
16,2,0,0,3,3,0,1196.858,81.422,86.675,37.21,37.011,9.741,0,0
17,2,0,0,4,4,0,1690.24,102.249,51.876,37.827,37.642,9.827,0,0
18,2,0,0,5,7,0,1698.801,246.403,101.851,37.965,37.69,9.851,0,0
19,2,0,0,6,8,0,1274.448,279.155,61.101,37.938,37.591,9.834,0,0
20,2,0,0,7,9,0,1726.882,314.3,51.343,38.117,37.92,9.824,0,0
21,2,0,0,8,10,0,1347.759,322.21,87.396,38.251,38.014,9.93,0,0
22,2,0,0,9,11,0,1347.067,377.376,77.78,38.114,37.752,9.878,0,0
23,3,0,0,0,0,0,2277.551,35.097,98.125,37.554,37.498,9.772,0,0
24,3,0,0,1,1,0,2182.039,129.196,65.543,37.787,37.355,9.861,0,0
25,3,0,0,2,2,0,1870.75,157.564,80.827,37.706,37.31,9.844,0,0
26,3,0,0,3,3,0,1755.092,169.773,62.58,37.277,36.992,9.747,0,0
27,3,0,0,4,4,0,1871.889,205,109.447,37.386,37.334,9.806,0,0
28,3,0,0,5,5,0,2141.49,214.956,96.513,37.452,37.275,9.807,0,0
29,3,0,0,6,7,0,2073.069,233.9,-11.868,37.299,36.965,9.825,0,0
30,3,0,0,7,8,0,1923.824,272.936,74.615,36.87,36.484,9.704,0,0
31,3,0,0,8,10,0,1783.757,308.311,42.645,37.656,37.159,9.819,0,0
32,3,0,0,9,13,0,2307.213,367.607,121.541,38.249,37.977,9.849,0,0
33,3,0,0,10,14,0,1812.076,416.411,123.863,34.983,20.819,9.435,0,0
34,4,0,0,0,1,0,2790.997,233.576,72.157,37.655,37.473,9.782,0,0
35,4,0,0,1,2,0,2712.033,273.496,51.678,37.881,37.603,9.828,0,0
36,4,0,0,2,5,0,2609.625,402.207,126.948,38.162,37.943,9.833,0,0
37,5,0,0,0,1,0,3317.649,30.577,53.874,37.504,37.469,9.839,0,0
38,5,0,0,1,2,0,3230.064,96.935,65.339,36.882,36.626,9.724,0,0
39,5,0,0,2,3,0,3123.843,122.027,29.361,37.662,37.301,9.838,0,0
40,5,0,0,3,4,0,3015.548,165.673,40.489,38.215,38.039,9.852,0,0
41,5,0,0,4,5,0,3027.514,220.281,82.73,37.3,37.031,9.755,0,0
42,5,0,0,5,6,0,3257.959,225.893,58.418,37.661,37.374,9.847,0,0
43,5,0,0,6,7,0,3457.461,246.737,31.085,37.787,37.393,9.789,0,0
