<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,1
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,0,0,0,0,412.763,24.394,91.186,28.666,28.523,8.598,0,0
2,0,0,0,2,2,0,107.316,76.355,12.067,28.345,28.234,8.597,0,0
4,0,0,0,4,4,0,392.772,122.498,-6.539,28.589,28.389,8.567,0,0
7,0,0,0,7,7,0,385.221,353.474,109.162,28.474,28.305,8.537,0,0
8,1,0,0,0,0,0,720.514,33.866,60.789,28.347,27.98,8.469,0,0
9,1,0,0,1,1,0,759.75,44.605,59.673,28.186,27.994,8.447,0,0
10,1,0,0,2,2,0,738.723,69.279,55.623,28.108,27.923,8.513,0,0
11,1,0,0,3,4,0,1086.155,351.754,90.84,29.801,28.73,8.541,0,0
12,2,0,0,0,0,0,1716.033,25.03,117.83,28.723,28.642,8.625,0,0
13,2,0,0,1,1,0,1616.594,188.485,-28.409,28.519,28.377,8.555,0,0
14,2,0,0,2,2,0,1636.003,218.032,30.875,28.201,28.087,8.553,0,0
15,2,0,0,3,3,0,1664.371,232.659,29.079,28.393,28.381,8.536,0,0
16,2,0,0,4,5,0,1380.978,360.698,93.698,28.556,28.46,8.572,0,0
17,2,0,0,5,6,0,1577.155,378.394,38.6,29.038,28.858,8.616,0,0
18,3,0,0,0,0,0,1953.215,69.595,40.81,28.057,27.766,8.481,0,0
19,3,0,0,1,1,0,1865.199,122.623,32.145,28.131,27.879,8.51,0,0
21,3,0,0,3,3,0,2242.841,211.703,-37.121,28.884,28.725,8.662,0,0
22,3,0,0,4,4,0,2117.257,224.387,32.582,28.512,28.167,8.799,0,0
24,3,0,0,6,6,0,1802.341,405.209,-29.608,28.991,28.773,8.596,0,0
25,3,0,0,7,7,0,2175.141,413.73,-22.917,29.017,28.959,8.627,0,0
26,4,0,0,0,0,0,2625.012,72.918,131.765,28.055,28.025,8.521,0,0
27,4,0,0,1,1,0,2806.561,131.228,-9.592,28.374,27.696,8.43,0,0
31,5,0,0,0,0,0,3421.064,195.856,85.268,28.296,28.169,8.489,0,0
32,5,0,0,1,1,0,3458.639,208.122,32.031,28.949,28.687,8.577,0,0
33,5,0,0,2,2,0,3216.521,326.203,39.67,28.246,27.787,8.514,0,0
34,5,0,0,3,3,0,3448.253,331.276,-8.027,29.146,28.916,9.115,0,0
37,6,0,0,2,1,0,3608.733,77.235,63.291,28.745,28.272,8.572,0,0
38,6,0,0,3,2,0,3819.243,98.238,120.106,27.555,27.299,8.715,0,0
39,6,0,0,4,3,0,3928.172,98.327,10.386,28.637,28.14,8.536,0,0
40,6,0,0,5,4,0,3620.037,111.361,39.847,28.217,27.907,8.527,0,0
41,6,0,0,6,6,0,3633.869,208.799,19.18,28.045,27.636,8.461,0,0
42,6,0,0,7,9,0,3851.906,342.057,37.288,28.331,28.118,8.487,0,0
43,6,0,0,8,10,0,3538.267,396.405,24.919,28.582,28.295,8.734,0,0
44,6,0,0,9,11,0,3913.337,402.689,39.889,28.802,28.711,8.647,0,0
46,7,0,0,1,2,0,4427.069,89.655,117.074,28.603,28.102,8.614,0,0
47,7,0,0,2,3,0,4109.866,89.068,55.865,28.2,27.926,8.527,0,0
48,7,0,0,3,4,0,4487.237,135.7,75.473,28.568,27.908,8.579,0,0
49,7,0,0,4,5,0,4344.458,154.975,-44.691,27.877,27.149,8.275,0,0
50,7,0,0,5,6,0,4245.035,207.973,64.129,28.469,27.987,8.577,0,0
52,7,0,0,7,8,0,4131.902,233.975,45.424,27.977,27.502,8.429,0,0
53,7,0,0,8,9,0,4052.138,266.259,-21.327,28.453,27.776,8.454,0,0
54,7,0,0,9,10,0,4198.042,300.707,-42.634,27.468,27.14,8.388,0,0
55,7,0,0,10,11,0,4381.126,383.135,65.578,28.476,28.18,8.518,0,0
56,8,0,0,0,1,0,5116.74,74.079,109.162,29.197,27.901,9.731,0,0
57,8,0,0,1,2,0,5161.244,91.944,-9.809,28.471,28.193,8.52,0,0
58,8,0,0,2,3,0,4843.386,100.181,39.413,27.585,27.206,8.414,0,0
59,8,0,0,3,5,0,4744.734,262.982,42.488,28.299,28.145,8.487,0,0
60,8,0,0,4,6,0,5091.591,319.952,-1.823,28.328,28.138,8.49,0,0
61,8,0,0,5,7,0,5057.271,339.135,110.841,28.812,28.614,8.546,0,0
62,8,0,0,6,8,0,4713.898,353.76,89.404,28.662,28.078,8.531,0,0
64,9,0,0,0,0,0,5607.137,69.609,68.673,28.521,28.158,8.522,0,0
65,9,0,0,1,1,0,5754.537,123.672,39.119,28.503,28.113,8.512,0,0
66,9,0,0,2,3,0,5529.575,230.197,25.299,28.102,27.646,8.471,0,0
67,9,0,0,3,4,0,5770.84,262.205,87.017,28.923,27.638,8.415,0,0
68,9,0,0,4,5,0,5610.82,267.801,87.9,27.844,27.464,8.404,0,0
69,9,0,0,5,6,0,5653.586,300.741,33.424,28.366,28.047,8.482,0,0
70,9,0,0,6,7,0,5530.726,362.907,5.56,27.833,27.677,8.434,0,0
71,0,1,0,0,0,0,224.344,461.723,119.326,27.727,27.68,8.419,0,0
72,0,1,0,1,1,0,41.88,497.313,73.604,28.175,28.061,8.544,0,0
73,0,1,0,2,2,0,289.003,545.374,17.484,27.978,27.745,8.379,0,0
75,0,1,0,4,4,0,489.868,617.12,17.678,28.642,28.34,8.567,0,0
77,0,1,0,6,6,0,351.998,660.766,-31.46,27.963,27.843,8.479,0,0
78,1,1,0,0,0,0,753.47,449.333,82.843,28.229,27.964,8.538,0,0
80,1,1,0,2,3,0,1037.916,585.113,93.001,28.376,28.348,8.529,0,0
82,1,1,0,4,6,0,1065.897,624.755,110.813,28.659,28.512,8.596,0,0
83,1,1,0,5,8,0,833.297,718.495,105.352,28.67,28.404,8.581,0,0
87,3,1,0,0,2,0,2133.425,467.416,128.816,28.699,28.631,8.62,0,0
88,3,1,0,1,3,0,1908.595,519.917,62.706,27.848,27.698,8.44,0,0
89,3,1,0,2,4,0,1885.985,542.389,79.912,28.177,27.971,8.531,0,0
90,3,1,0,3,5,0,1826.142,617.849,75.544,28.208,28.181,8.568,0,0
91,3,1,0,4,6,0,2146.232,768.118,61.164,28.19,27.981,8.628,0,0
92,4,1,0,0,0,0,2532.725,446.109,63.274,28.076,27.578,8.456,0,0
93,4,1,0,1,1,0,2858.676,468.558,80.288,29.317,27.739,8.491,0,0
94,4,1,0,2,2,0,2473.242,485.379,53.605,27.965,27.756,8.466,0,0
95,4,1,0,3,3,0,2730.087,500.897,88.424,28.24,27.78,8.51,0,0
97,4,1,0,5,5,0,2622.97,628.081,82.834,28.223,28.146,8.565,0,0
98,4,1,0,6,6,0,2521.174,770.861,61.438,28.277,28.212,8.493,0,0
99,4,1,0,7,7,0,2591.127,804.161,-3.743,28.761,28.625,8.628,0,0
102,5,1,0,1,2,0,2930.724,477.524,-14.28,28.286,28.166,8.488,0,0
103,5,1,0,2,3,0,3140.813,517.322,80.619,27.874,27.376,8.484,0,0
104,5,1,0,3,5,0,3041.345,619.327,66.412,28.139,27.719,8.487,0,0
107,5,1,0,6,8,0,3319.586,733.468,102.943,28.696,28.483,8.597,0,0
108,5,1,0,7,9,0,3455.581,742.191,6.115,28.976,28.801,8.598,0,0
109,6,1,0,0,1,0,3498.197,500.446,33.575,28.017,27.672,8.373,0,0
110,6,1,0,1,2,0,3870.526,522.757,46.009,28.293,27.914,8.451,0,0
111,6,1,0,2,3,0,3483.194,568.812,23.577,28.655,28.419,8.581,0,0
112,6,1,0,3,4,0,3810.233,651.076,51.321,28.059,27.813,8.489,0,0
113,7,1,0,0,0,0,4547.291,523.538,47.705,28.245,27.721,8.415,0,0
114,7,1,0,1,1,0,4312.544,580.199,18.798,28.062,27.911,8.505,0,0
115,7,1,0,2,2,0,4111.238,610.991,31.214,28.25,27.893,8.531,0,0
116,7,1,0,3,3,0,4591.716,755.445,15.476,28.608,28.466,8.493,0,0
117,7,1,0,4,4,0,4328.751,809.701,120.507,28.638,27.921,8.503,0,0
118,7,1,0,5,5,0,4560.096,811.786,70.641,29.298,28.795,8.557,0,0
119,8,1,0,0,0,0,4813.507,657.521,90.509,28.226,27.524,8.469,0,0
120,8,1,0,1,2,0,4842.223,783.717,113.134,28.222,28.006,8.543,0,0
121,9,1,0,0,0,0,5760.378,426.449,-12.887,28.502,28.02,8.412,0,0
122,9,1,0,1,1,0,5635.568,524.305,-10.502,28.367,28.293,8.519,0,0
123,9,1,0,2,2,0,5736.955,573.547,123.964,28.686,28.325,8.572,0,0
124,9,1,0,3,3,0,5535.833,594.64,-3.088,28.238,28.081,8.558,0,0
128,9,1,0,7,9,0,5265.964,790.459,59.368,28.477,27.889,8.3,0,0
129,0,2,0,0,0,0,315.034,917.137,59.23,28.565,28.492,8.579,0,0
130,0,2,0,1,1,0,183.658,947.475,23.231,28.365,28.176,8.501,0,0
132,0,2,0,3,3,0,496.198,953.517,113.31,28.849,28.729,8.657,0,0
133,0,2,0,4,4,0,128.552,960.114,34.86,27.96,27.883,8.485,0,0
135,0,2,0,6,7,0,213.443,1052.553,-18.66,28.766,28.124,9.857,0,0
136,0,2,0,7,7,0,231.651,1051.689,-19.173,28.727,28.077,9.842,0,0
137,0,2,0,8,8,0,157.663,1056.715,22.282,28.468,28.261,8.529,0,0
138,0,2,0,9,10,0,531.409,1212.519,60.947,29.149,29.084,8.665,0,0
139,1,2,0,0,0,0,895.051,846.175,80.307,28.27,28.048,8.468,0,0
140,1,2,0,1,1,0,788.437,1039.164,15.823,28.432,28.336,8.535,0,0
141,1,2,0,2,2,0,991.413,1067.19,22.989,28.328,28.166,8.494,0,0
142,1,2,0,3,3,0,938.272,1070.331,106.168,28.101,28.067,8.534,0,0
144,1,2,0,5,5,0,857.626,1110.759,97.543,28.393,28.199,8.509,0,0
145,1,2,0,6,6,0,1038.883,1146.308,112.086,28.762,28.646,8.543,0,0
146,2,2,0,0,0,0,1344.444,886.438,36.019,28.351,28.05,8.57,0,0
147,2,2,0,1,1,0,1410.089,902.28,102.093,28.724,28.526,8.519,0,0
148,2,2,0,2,3,0,1463.832,942.394,50.994,28.162,28.001,8.534,0,0
150,2,2,0,4,5,0,1432.054,1067.217,109.779,28.205,28.097,8.555,0,0
151,2,2,0,5,6,0,1262,1068.495,51.452,28.517,28.332,8.547,0,0
152,2,2,0,6,7,0,1337.513,1159.382,128.086,28.538,28.439,8.567,0,0
154,3,2,0,0,0,0,2176.455,852.963,85.782,28.198,28.001,8.539,0,0
155,3,2,0,1,1,0,1821.773,927.619,45.342,28.418,28.198,8.512,0,0
156,3,2,0,2,2,0,1755.675,931.796,18.95,28.109,27.801,8.495,0,0
158,3,2,0,4,5,0,1885.457,1148.233,57.909,28.588,28.378,8.565,0,0
160,4,2,0,1,2,0,2444.815,1025.354,37.082,27.879,27.765,8.455,0,0
161,4,2,0,2,3,0,2333.521,1080.451,-30.588,28.593,28.424,8.573,0,0
163,4,2,0,4,5,0,2396.398,1127.292,112.301,28.327,28.267,8.509,0,0
164,4,2,0,5,6,0,2797.796,1134.811,99.333,28.776,28.564,8.621,0,0
165,4,2,0,6,7,0,2670.654,1183.636,-44.663,28.592,28.285,8.465,0,0
