<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,1
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,0,0,1,0,409.558,30.752,103.863,29.986,29.833,8.725,0,0
1,0,0,0,1,2,0,105.201,77.459,57.556,29.947,29.872,8.812,0,0
3,0,0,0,3,4,0,379.014,129.966,120.768,30.079,29.978,8.847,0,0
5,0,0,0,5,6,0,368.169,363.834,95.868,30.406,30.373,8.865,0,0
8,1,0,0,1,2,0,747.289,40.629,0.378,30.448,30.03,9.596,0,0
9,1,0,0,2,2,0,721.62,39.922,7.968,29.787,29.641,9.664,0,0
10,1,0,0,3,3,0,731.837,75.435,49.803,29.669,29.545,8.723,0,0
13,1,0,0,6,5,0,1126.397,290.987,-28.065,31.566,29.962,8.801,0,0
14,1,0,0,7,6,0,1080.036,362.663,68.284,31.015,30.812,8.931,0,0
15,2,0,0,0,0,0,1699.754,35.905,133.046,30.408,30.125,8.83,0,0
16,2,0,0,1,1,0,1601.946,191.568,91.222,30.02,29.815,8.728,0,0
18,2,0,0,3,3,0,1643.873,239.995,34.002,30.462,30.018,9.383,0,0
19,2,0,0,4,3,0,1621.631,224.249,-13.758,30.083,29.816,9.407,0,0
20,2,0,0,5,4,0,1367.272,370.901,55.813,29.73,29.695,8.754,0,0
21,2,0,0,6,5,0,1566.468,392.711,26.832,30.462,30.238,8.854,0,0
22,3,0,0,0,0,0,1941.361,76.018,82.505,29.851,29.769,8.783,0,0
23,3,0,0,1,1,0,1868.092,127.839,43.67,29.54,29.312,8.67,0,0
24,3,0,0,2,2,0,2229.089,218.574,-11.996,30.43,30.141,8.835,0,0
25,3,0,0,3,3,0,2124.814,229.122,82.63,30.145,30.025,8.777,0,0
26,3,0,0,4,4,0,1788.892,414.328,-19.324,30.527,30.384,8.799,0,0
27,3,0,0,5,5,0,2157.664,415.092,41.927,30.861,30.743,8.899,0,0
30,4,0,0,2,2,0,2615.584,75.833,20.831,29.619,29.506,8.71,0,0
31,4,0,0,3,3,0,2795.792,141.261,-2.533,29.54,29.5,8.697,0,0
32,5,0,0,0,0,0,3408.665,204.584,-12.115,30.188,30.03,8.871,0,0
33,5,0,0,1,1,0,3458.183,225.94,-29.475,30.635,30.532,8.836,0,0
34,5,0,0,2,2,0,3204.789,335.881,128.305,30.357,30.232,8.838,0,0
35,5,0,0,3,3,0,3449.818,339.864,45.462,31.005,30.883,8.94,0,0
37,6,0,0,1,1,0,3608.523,125.404,69.753,29.977,29.392,9.64,0,0
38,6,0,0,2,1,0,3602.169,102.431,85.295,30.04,29.851,9.738,0,0
39,6,0,0,3,2,0,3912.52,116.488,125.242,30.367,29.849,8.699,0,0
41,6,0,0,5,5,0,3636.147,229.777,44.414,29.712,29.677,8.749,0,0
42,6,0,0,6,8,0,3844.939,350.256,61.719,30.165,30.125,8.794,0,0
43,6,0,0,7,9,0,3533.881,411.349,0.788,30.465,30.284,8.861,0,0
44,7,0,0,0,0,0,4602.849,20.26,-11.472,30.44,30.26,8.854,0,0
45,7,0,0,1,1,0,4096.453,105.664,63.497,30.033,29.779,8.724,0,0
46,7,0,0,2,2,0,4419.328,117.547,114.359,29.977,29.736,8.796,0,0
