<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,2
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,1,0,0,0,364.425,33.746,132.206,28.842,28.473,8.617,0,0
1,0,0,1,1,1,0,270.491,62.777,28.968,29.161,28.879,8.637,0,0
2,0,0,1,2,2,0,61.453,106.764,-29.04,29.248,28.104,9.709,0,0
3,0,0,1,3,3,0,118.73,171.853,120.987,28.294,27.221,8.433,0,0
4,0,0,1,4,5,0,170.649,310.174,77.881,28.593,28.377,8.565,0,0
5,0,0,1,5,6,0,35.573,352.28,8.529,28.855,28.8,8.669,0,0
7,1,0,1,0,0,0,642.508,33.362,20.562,28.661,28.577,8.606,0,0
8,1,0,1,1,1,0,1029.816,37.898,59.561,29.481,29.327,8.663,0,0
9,1,0,1,2,2,0,905.448,64.011,43.225,28.784,28.704,8.643,0,0
10,1,0,1,3,3,0,764.995,71.695,52.994,29.195,29.121,8.678,0,0
11,1,0,1,4,4,0,664.132,160.109,46.124,28.534,28.469,8.571,0,0
12,1,0,1,5,5,0,836.016,161.578,53.8,28.585,28.44,8.574,0,0
13,1,0,1,6,6,0,598.748,301.144,-1.681,29.432,29.361,8.661,0,0
14,1,0,1,7,8,0,659.141,322.524,23.649,28.915,28.716,8.576,0,0
15,1,0,1,8,9,0,1141.339,340.107,16.94,29.601,29.362,8.686,0,0
16,1,0,1,9,10,0,1057.715,410.511,23.471,29.355,29.195,8.713,0,0
17,2,0,1,0,0,0,1701.703,190.595,5.055,28.812,28.624,8.636,0,0
18,2,0,1,1,1,0,1440.253,282.743,9.904,28.625,28.564,8.599,0,0
19,2,0,1,2,2,0,1176.883,318.842,12.99,29.375,29.278,8.64,0,0
20,2,0,1,3,3,0,1253.522,325.402,27.209,29.349,29.211,8.627,0,0
21,3,0,1,0,0,0,2038.108,55.717,46.122,28.674,28.609,8.613,0,0
22,3,0,1,1,1,0,2199.22,150.068,-41.251,28.647,28.603,8.608,0,0
23,3,0,1,2,2,0,2171.738,257.948,75.587,28.462,28.348,8.541,0,0
24,3,0,1,3,3,0,2315.266,310.838,89.083,29.649,27.44,8.486,0,0
25,3,0,1,4,4,0,2064.423,354.693,129.787,29.148,29.023,9.832,0,0
26,3,0,1,5,4,0,2044.022,349.075,22.369,29.631,29.183,9.924,0,0
27,3,0,1,6,5,0,1771.249,370.395,34.797,29.016,28.827,8.608,0,0
28,3,0,1,7,6,0,2014.65,391.804,-1.025,28.855,28.748,8.572,0,0
29,4,0,1,0,0,0,2362.869,16.966,77.07,29.147,28.996,8.652,0,0
30,4,0,1,1,1,0,2340.824,92.29,35.963,28.992,28.629,8.663,0,0
32,4,0,1,3,3,0,2644.994,191.645,106.121,28.765,28.38,8.504,0,0
33,4,0,1,4,4,0,2744.442,199.451,-29.451,28.683,28.539,8.603,0,0
34,4,0,1,5,5,0,2451.288,238.917,-34.23,28.806,28.571,8.538,0,0
35,4,0,1,6,8,0,2438.663,351.286,23.013,28.69,28.577,8.522,0,0
38,5,0,1,2,1,0,3343.708,118.221,-11.318,28.961,28.831,8.6,0,0
39,5,0,1,3,2,0,3254.778,190.1,71.014,28.545,28.159,8.526,0,0
