<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,1
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,0,0,0,0,368.748,23.482,-44.353,28.085,27.949,8.514,0,0
1,0,0,0,1,1,0,268.392,66.202,87.298,28.351,28.243,8.599,0,0
2,0,0,0,2,2,0,59.891,99.455,22.817,28.28,27.978,8.548,0,0
3,0,0,0,3,5,0,116.201,166.187,7.704,27.863,27.697,8.442,0,0
4,0,0,0,4,8,0,170.526,302.271,79.314,28.234,28.026,8.548,0,0
5,0,0,0,5,9,0,36.253,342.432,78.809,28.836,28.704,8.563,0,0
6,1,0,0,0,0,0,644.584,26.958,85.253,28.852,28.148,8.57,0,0
7,1,0,0,1,1,0,1031.186,29.112,-12.113,27.96,27.907,8.489,0,0
8,1,0,0,2,2,0,903.084,61.374,39.817,28.244,28.157,8.57,0,0
9,1,0,0,3,3,0,771.704,68.325,46.762,28.464,28.165,8.515,0,0
11,1,0,0,5,6,0,660.756,149.05,82.882,28.234,28.196,8.484,0,0
12,1,0,0,6,7,0,837.727,153.8,56.774,28.677,28.391,8.493,0,0
13,1,0,0,7,8,0,601.935,290.478,32.562,28.519,28.499,8.573,0,0
14,1,0,0,8,9,0,658.412,317.743,132.487,28.517,28.475,9.506,0,0
15,1,0,0,9,11,0,1146.939,335.46,-28.586,29.64,29.322,8.686,0,0
17,1,0,0,11,13,0,1056.02,404.031,21.73,29.273,28.836,9.223,0,0
18,2,0,0,0,1,0,1440.707,280.486,82.214,28.715,28.543,8.608,0,0
19,2,0,0,1,2,0,1172.296,313.491,-44.609,28.477,26.949,8.62,0,0
20,2,0,0,2,3,0,1250.345,318.787,69.209,28.246,28.144,8.478,0,0
21,3,0,0,0,0,0,2041.57,48.789,34.037,28.398,28.215,8.512,0,0
22,3,0,0,1,1,0,2204.105,144.118,71.327,28.629,28.54,8.595,0,0
23,3,0,0,2,2,0,2173.512,249.36,74.064,28.381,28.195,8.506,0,0
24,3,0,0,3,3,0,2316.223,305.62,91.886,29.727,25.833,8.253,0,0
25,3,0,0,4,5,0,1776.321,366.101,36.387,28.726,28.534,8.609,0,0
26,3,0,0,5,6,0,2017.39,383.663,131.531,28.977,28.555,8.477,0,0
27,4,0,0,0,2,0,2340.455,88.034,28.556,28.351,28.097,8.487,0,0
28,4,0,0,1,4,0,2641.655,186.513,23.153,28.396,28.333,8.62,0,0
29,4,0,0,2,5,0,2745.534,191.695,2.399,28.476,28.106,8.598,0,0
30,4,0,0,3,7,0,2451.489,229.944,5.327,28.23,28.098,8.559,0,0
31,4,0,0,4,9,0,2442.438,343.112,41.862,28.389,28.21,8.51,0,0
32,5,0,0,0,0,0,3344.5,108.634,124.943,28.76,28.584,8.622,0,0
33,5,0,0,1,2,0,3259.886,184.073,-32.519,28.287,28.133,8.483,0,0
35,5,0,0,3,4,0,3204.543,234.43,69.637,28.338,28.231,8.505,0,0
36,5,0,0,4,7,0,3418.996,351.674,21.442,29.335,29.06,8.69,0,0
38,6,0,0,0,1,0,3531.387,257.142,84.279,28.549,28.405,8.563,0,0
40,6,0,0,2,3,0,3987.185,319.257,86.916,29.227,29.11,8.681,0,0
41,6,0,0,3,4,0,3894.161,321.519,76.251,28.366,28.215,8.507,0,0
42,7,0,0,0,0,0,4123.033,24.269,26.952,28.066,27.971,8.515,0,0
43,7,0,0,1,2,0,4095.179,33.635,41.617,28.273,28.124,8.479,0,0
45,7,0,0,3,4,0,4533.147,161.555,35.849,28.486,28.338,8.544,0,0
47,7,0,0,5,6,0,4455.601,357.089,-34.151,29.187,28.495,8.499,0,0
48,7,0,0,6,7,0,4059.309,407.92,19.513,29.289,29.026,8.591,0,0
50,8,0,0,1,2,0,4709.991,285.32,58.334,28.614,28.55,8.595,0,0
51,8,0,0,2,3,0,4710.434,416.597,34.053,29.058,28.964,8.634,0,0
52,9,0,0,0,1,0,5269.954,60.53,29.945,28.295,28.106,8.48,0,0
55,9,0,0,3,4,0,5482.364,391.893,107.935,28.348,28.2,8.502,0,0
56,0,1,0,0,0,0,519.495,432.429,-13.042,28.666,28.233,8.555,0,0
57,0,1,0,1,5,0,256.253,730.79,80.901,28.113,27.977,8.522,0,0
58,0,1,0,2,6,0,515.715,745.32,36.588,29.615,29.536,8.714,0,0
59,0,1,0,3,7,0,477.195,784.439,-21.358,29.075,28.495,9.034,0,0
61,1,1,0,1,2,0,889.272,574.846,92.649,27.969,27.758,8.467,0,0
64,1,1,0,4,4,0,855.932,637.219,67.171,28.448,28.217,8.519,0,0
65,1,1,0,5,5,0,1030.975,682.767,40.346,28.489,28.419,8.556,0,0
66,1,1,0,6,6,0,1151.251,781.769,27.003,29.689,29.091,8.743,0,0
67,2,1,0,0,0,0,1573.609,451.469,90.988,28.295,28.16,8.488,0,0
68,2,1,0,1,1,0,1337.677,562.031,104.507,28.438,28.399,8.546,0,0
69,2,1,0,2,3,0,1224.231,634.549,2.512,28.38,28.067,8.487,0,0
70,2,1,0,3,4,0,1315.404,693.598,-35.162,28.103,27.934,8.514,0,0
71,2,1,0,4,5,0,1619.416,730.388,-19.701,28.503,28.452,8.563,0,0
72,2,1,0,5,6,0,1427.34,779.178,15.347,28.465,28.248,8.527,0,0
73,4,1,0,0,0,0,2596.792,438.773,92.259,28.306,28.222,8.589,0,0
74,4,1,0,1,1,0,2644.032,447.308,67.76,28.463,28.274,8.53,0,0
77,5,1,0,0,1,0,3040.83,444.486,89.244,28.91,28.784,8.585,0,0
79,5,1,0,2,3,0,3275.388,483.278,62.709,28.496,28.387,8.552,0,0
80,5,1,0,3,4,0,2948.123,506.63,52.56,28.509,28.232,8.531,0,0
81,5,1,0,4,5,0,3283.384,550.729,59.313,28.355,28.238,8.599,0,0
86,5,1,0,9,11,0,3282.932,725.661,-21.491,28.871,28.818,8.585,0,0
88,6,1,0,0,1,0,3821.403,504.939,84.094,28.309,28.211,8.498,0,0
89,6,1,0,1,2,0,3713.018,565.429,118.625,28.339,28.202,8.501,0,0
93,6,1,0,5,6,0,3814.993,789.002,128.529,28.37,28.31,8.522,0,0
94,6,1,0,6,7,0,3758.123,822.214,102.221,29.4,28.796,8.572,0,0
95,7,1,0,0,1,0,4091.736,548.01,18.843,28.325,28.283,8.511,0,0
96,7,1,0,1,2,0,4526.687,550.335,11.829,28.411,28.269,8.522,0,0
98,7,1,0,3,4,0,4351.238,615.027,-4.423,28.503,28.467,8.566,0,0
100,7,1,0,5,6,0,4514.435,664.441,71.722,28.687,28.616,8.527,0,0
101,7,1,0,6,7,0,4608.823,686.451,95.305,29.164,28.86,8.634,0,0
103,7,1,0,8,9,0,4372.189,711.937,133.898,28.617,28.411,8.574,0,0
104,7,1,0,9,10,0,4098.887,739.748,88.86,28.826,28.597,8.633,0,0
105,7,1,0,10,11,0,4351.604,747.617,56.803,28.407,28.316,8.529,0,0
106,7,1,0,11,12,0,4182.902,780.229,4.022,29.056,28.901,8.625,0,0
107,7,1,0,12,13,0,4131.939,791.534,-5.372,28.625,28.33,8.564,0,0
108,7,1,0,13,14,0,4214.696,798.145,21.073,29.02,28.79,8.603,0,0
109,8,1,0,0,1,0,5091.29,552.798,105.084,28.608,28.446,8.578,0,0
110,8,1,0,1,2,0,4801.584,559.793,50.581,28.234,28.14,8.476,0,0
112,8,1,0,3,5,0,4768.054,742.301,101.586,28.242,28.151,8.568,0,0
113,9,1,0,0,0,0,5543.885,435.364,58.423,28.592,28.482,8.581,0,0
114,9,1,0,1,1,0,5605.682,435.232,63.777,28.672,28.555,8.516,0,0
115,9,1,0,2,3,0,5743.881,464.368,14.085,28.622,28.551,8.596,0,0
116,9,1,0,3,5,0,5255.883,672.252,52.127,28.394,28.217,8.512,0,0
117,9,1,0,4,6,0,5512.513,740.926,80.891,28.621,28.47,8.584,0,0
118,9,1,0,5,7,0,5493.252,802.417,69.628,28.806,28.751,8.565,0,0
119,9,1,0,6,8,0,5343.396,817.93,42.26,28.335,28.254,8.508,0,0
120,0,2,0,0,0,0,41.394,848.413,20.496,28.315,28.016,8.469,0,0
121,0,2,0,1,1,0,90.806,883.019,31.799,28.29,28.019,8.556,0,0
122,0,2,0,2,2,0,396.343,916.873,1.761,28.331,28.238,8.596,0,0
123,0,2,0,3,3,0,222.217,991.895,13.424,28.201,28.087,8.463,0,0
124,0,2,0,4,4,0,199.257,1057.994,24.412,28.442,28.183,8.604,0,0
125,0,2,0,5,5,0,193.719,1132.56,89.283,28.868,28.807,8.583,0,0
126,0,2,0,6,6,0,62.008,1142.564,-17.803,28.585,28.429,8.572,0,0
129,1,2,0,0,1,0,1031.165,860.057,16.402,28.291,28.123,8.482,0,0
