<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,2
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,1,0,0,0,371.769,40.006,45.64,30.066,30.022,8.765,0,0
1,0,0,1,1,1,0,288.193,46.206,104.109,30.801,30.712,8.886,0,0
2,0,0,1,2,2,0,78.861,107.667,32.779,30.288,30.203,8.824,0,0
3,0,0,1,3,4,0,130.335,170.026,-32.946,30.33,30.202,8.829,0,0
4,0,0,1,4,6,0,181.46,313.221,-6.503,30.542,30.474,8.9,0,0
5,0,0,1,5,7,0,46.858,352.372,14.847,30.654,30.567,8.93,0,0
6,0,0,1,6,8,0,397.349,398.866,9.772,31.4,30.778,8.816,0,0
7,1,0,1,0,0,0,659.605,32.386,38.815,30.46,30.341,8.868,0,0
8,1,0,1,1,1,0,1042.913,41.147,111.203,30.69,30.571,8.935,0,0
9,1,0,1,2,2,0,922.046,60.108,-23.61,30.329,30.19,8.828,0,0
10,1,0,1,3,3,0,765.04,64.95,0.808,30.434,30.257,8.853,0,0
11,1,0,1,4,4,0,850.138,162.83,74.631,30.106,29.814,8.826,0,0
12,1,0,1,5,5,0,690.067,165.097,45.061,30.427,30.363,8.867,0,0
13,1,0,1,6,6,0,608.097,306.484,38.903,30.434,30.405,8.874,0,0
14,1,0,1,7,7,0,675.584,322.029,60.777,30.703,30.543,8.847,0,0
15,1,0,1,8,8,0,1154.777,341.696,42.228,31.106,30.994,8.971,0,0
16,1,0,1,9,9,0,1079.852,412.725,28.605,31.463,31.295,8.98,0,0
19,2,0,1,2,2,0,1710.054,200.495,-28.109,30.745,30.684,8.874,0,0
20,2,0,1,3,3,0,1459.089,278.204,37,30.453,30.254,8.855,0,0
21,2,0,1,4,4,0,1191.268,314.457,67.116,30.942,30.751,8.912,0,0
22,2,0,1,5,5,0,1276.925,337.654,30.379,30.837,30.756,8.897,0,0
23,3,0,1,0,0,0,2046.287,60.965,120.087,30.138,29.974,8.768,0,0
25,3,0,1,2,2,0,2210.362,152.992,130.811,30.233,30.103,8.801,0,0
27,3,0,1,4,4,0,2182.916,267.128,91.056,30.669,30.647,8.944,0,0
28,3,0,1,5,6,0,2074.894,354.938,-1.355,31.243,30.457,9.563,0,0
29,3,0,1,6,6,0,2047.272,353.269,50.43,30.83,30.707,9.664,0,0
30,3,0,1,7,7,0,1780.927,367.87,-14.895,31.039,30.951,8.955,0,0
31,3,0,1,8,8,0,2023.281,394.116,51.221,30.909,30.879,8.926,0,0
32,4,0,1,0,0,0,2377.071,29.733,121.189,31.058,29.127,8.778,0,0
33,4,0,1,1,1,0,2361.246,94.352,38.413,30.405,30.256,8.848,0,0
35,4,0,1,3,3,0,2667.751,196.91,86.885,30.055,29.813,8.733,0,0
36,4,0,1,4,4,0,2761.129,206.784,57.18,30.558,30.383,8.889,0,0
37,4,0,1,5,6,0,2465.704,245.701,110.393,30.288,30.144,8.815,0,0
38,4,0,1,6,7,0,2329.819,307.146,130.12,30.471,30.385,8.791,0,0
39,4,0,1,7,8,0,2450.737,360.63,86.949,30.813,30.598,8.871,0,0
40,5,0,1,0,0,0,3359.983,132.249,114.992,30.597,30.307,9.065,0,0
41,5,0,1,1,1,0,3261.854,198.839,83.723,30.088,29.836,8.741,0,0
42,5,0,1,2,2,0,3205.437,244.122,57.102,29.996,29.867,8.818,0,0
43,5,0,1,3,3,0,3423.204,363.894,118.475,31.152,31.115,8.995,0,0
44,6,0,1,0,2,0,3550.851,20.039,42.9,30.586,30.456,8.818,0,0
45,6,0,1,1,3,0,3540.109,260.648,58.707,30.655,30.558,8.842,0,0
46,6,0,1,2,4,0,3925.823,341.028,-9.298,30.329,30.275,8.84,0,0
47,6,0,1,3,5,0,4005.951,342.173,41.636,30.814,30.678,8.883,0,0
49,7,0,1,0,0,0,4145.717,43.211,-30.096,30.635,30.62,8.849,0,0
50,7,0,1,1,1,0,4104.647,60.208,51.22,30.437,30.271,8.855,0,0
51,7,0,1,2,2,0,4517.716,100.227,56.819,30.239,30.111,8.803,0,0
52,7,0,1,3,3,0,4553.188,181.078,43.936,31.042,30.944,8.954,0,0
53,7,0,1,4,4,0,4468.152,383.94,51.739,30.932,30.714,8.905,0,0
54,7,0,1,5,5,0,4078.884,416.225,85.823,30.97,30.935,8.942,0,0
55,8,0,1,0,0,0,5156.41,32.289,-5.133,31.112,30.958,8.966,0,0
