<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,2
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,1,0,0,0,413.036,41.095,86.052,30.672,30.555,8.844,0,0
1,0,0,1,1,1,0,109.553,85.518,32.009,31.065,30.879,8.948,0,0
2,0,0,1,2,2,0,374.899,145.282,89.188,30.705,30.467,8.836,0,0
3,0,0,1,3,3,0,364.719,379.681,75.334,30.308,30.229,8.83,0,0
4,1,0,1,0,1,0,681.046,37.188,87.884,30.671,30.449,8.829,0,0
5,1,0,1,1,3,0,734.893,85.655,66.951,30.701,30.466,8.922,0,0
6,1,0,1,2,4,0,1123.934,298.456,60.428,30.571,30.499,8.822,0,0
7,1,0,1,3,5,0,1080.242,376.591,113.65,31.079,30.965,8.877,0,0
8,2,0,1,0,1,0,1694.625,48.022,-18.326,30.897,30.668,8.893,0,0
9,2,0,1,1,3,0,1600.226,193.608,3.484,30.177,30.131,8.797,0,0
10,2,0,1,2,4,0,1635.936,246.83,41.224,31.481,30.981,9.688,0,0
11,2,0,1,3,4,0,1614.554,231.698,85.135,30.803,30.666,9.88,0,0
12,2,0,1,4,5,0,1359.613,383.862,70.872,30.468,30.302,8.864,0,0
13,2,0,1,5,6,0,1561.88,407.697,72.281,30.739,30.656,8.869,0,0
14,3,0,1,0,0,0,1937.929,79.789,-44.653,30.222,30.045,8.791,0,0
15,3,0,1,1,1,0,1875.061,135.081,70.386,30.571,30.346,8.885,0,0
16,3,0,1,2,2,0,2224.514,225.503,34.64,30.797,30.465,8.85,0,0
21,3,0,1,7,6,0,2152.681,419.804,-5.075,31.936,27.119,8.524,0,0
23,4,0,1,1,1,0,2611.3,77.336,71.221,30.293,30.215,8.826,0,0
24,4,0,1,2,2,0,2794.409,152.47,-41.87,30.293,30.214,8.826,0,0
25,5,0,1,0,1,0,3403.013,214.897,54.802,30.809,30.579,8.868,0,0
26,5,0,1,1,2,0,3464.518,238.826,42.622,30.873,30.81,8.91,0,0
27,5,0,1,2,3,0,3201.663,344.137,32.708,30.433,30.227,8.848,0,0
28,5,0,1,3,4,0,3456.919,346.756,47.046,30.92,30.646,8.893,0,0
30,6,0,1,1,2,0,3905.476,130.577,16.068,30.568,30.534,8.913,0,0
31,6,0,1,2,4,0,3642.871,241.855,40.802,30.432,30.341,8.864,0,0
32,6,0,1,3,7,0,3847.132,351.54,90.792,31.405,31.205,8.959,0,0
33,6,0,1,4,8,0,3535.52,420.053,-0.633,32.175,26.421,8.442,0,0
