<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,1
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,0,0,0,0,377.402,27.075,116.343,29.611,29.515,8.71,0,0
1,0,0,0,1,1,0,286.727,49.52,107.95,30.244,30.088,8.8,0,0
2,0,0,0,2,2,0,77.408,98.758,29.94,29.819,29.674,8.678,0,0
3,0,0,0,3,4,0,133.242,162.439,62.977,30.022,29.963,8.836,0,0
4,0,0,0,4,6,0,184.404,302.515,24.151,30.132,29.595,8.629,0,0
5,0,0,0,5,7,0,48.408,343.822,-6.934,30.301,30.232,8.83,0,0
6,0,0,0,6,8,0,396.774,400.966,25.321,30.188,30.139,8.799,0,0
7,1,0,0,0,0,0,657.989,25.588,48.063,29.806,29.569,8.747,0,0
8,1,0,0,1,1,0,1045.142,31.889,112.589,30.201,30.026,8.785,0,0
9,1,0,0,2,2,0,921.566,55.145,-27.233,29.789,29.683,8.761,0,0
10,1,0,0,3,3,0,776.239,62.081,71.286,29.426,29.168,8.719,0,0
11,1,0,0,4,4,0,680.856,154.351,30.305,29.919,29.625,8.772,0,0
12,1,0,0,5,5,0,850.405,155.041,63.202,29.988,29.895,8.821,0,0
13,1,0,0,6,6,0,611.247,294.781,40.568,30.266,30.179,8.817,0,0
14,1,0,0,7,7,0,673.751,314.264,-3.996,30.021,30.002,8.842,0,0
15,1,0,0,8,8,0,1154.356,333.419,46.091,31.166,31.115,8.829,0,0
16,1,0,0,9,9,0,1074.462,404.399,74.742,31.733,30.558,9.441,0,0
17,2,0,0,0,0,0,1716.198,187.191,51.96,30.556,30.529,8.91,0,0
