<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,2
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
1,0,0,1,1,1,0,130.661,84.103,-17.183,38.904,38.815,9.965,0,0
2,0,0,1,2,2,0,502.036,106.88,20.361,38.287,38.112,9.871,0,0
3,0,0,1,3,3,0,311.049,118.418,-35.866,37.884,36.206,9.665,0,0
4,0,0,1,4,4,0,152.193,247.544,83.022,37.771,37.669,9.823,0,0
5,1,0,1,0,1,0,670.878,65.103,112.896,38.24,37.615,9.509,0,0
7,1,0,1,2,3,0,1037.99,138.978,133.259,37.871,36.99,9.244,0,0
8,1,0,1,3,4,0,710.202,140.009,15.406,38.487,38.154,9.903,0,0
9,1,0,1,4,9,0,628.933,400.637,-5.933,38.906,38.305,9.9,0,0
10,2,0,1,0,2,0,1576.718,84.343,127.724,37.867,37.526,9.817,0,0
12,2,0,1,2,4,0,1370.541,261.37,130.388,39.131,37.165,9.089,0,0
13,2,0,1,3,5,0,1336.409,303.516,-13.013,38.258,38.181,9.801,0,0
14,2,0,1,4,6,0,1465.087,383.886,4.612,39.027,38.88,9.989,0,0
15,2,0,1,5,8,0,1288.281,407.731,-4.311,39.145,38.84,10,0,0
16,2,0,1,6,9,0,1524.131,418.834,-11.991,39.672,28.589,8.673,0,0
17,2,0,1,7,10,0,1209.019,420.492,-0.606,41.134,27.057,9.422,0,0
18,3,0,1,0,1,0,1982.019,75.232,-36.128,38.197,38.028,9.925,0,0
19,3,0,1,1,4,0,2094.435,350.779,109.59,38.724,38.27,9.948,0,0
20,3,0,1,2,5,0,2111.373,414.302,-3.156,39.856,37.708,9.871,0,0
21,4,0,1,0,0,0,2828.662,44.685,107.174,38.998,37.593,9.134,0,0
22,4,0,1,1,1,0,2566.722,73.872,114.25,37.806,37.485,9.728,0,0
24,4,0,1,3,5,0,2585.37,316.359,-37.386,38.749,37.032,8.801,0,0
25,4,0,1,4,6,0,2462.339,364.584,-13.628,38.253,37.988,9.85,0,0
26,4,0,1,5,7,0,2392.422,373.615,-37.238,39.038,38.743,9.973,0,0
27,5,0,1,0,0,0,3344.713,49.001,132.9,38.639,38.513,9.968,0,0
28,5,0,1,1,1,0,3124.533,67.008,89.622,37.964,36.808,9.297,0,0
29,5,0,1,2,2,0,2919.116,98.081,38.741,38.965,38.48,9.93,0,0
30,5,0,1,3,3,0,3450.834,280.16,50.096,38.576,37.623,9.844,0,0
31,6,0,1,0,1,0,3800.891,83.987,73.924,37.891,37.733,9.847,0,0
33,6,0,1,2,2,0,3649.501,88.526,119.392,38.427,34.587,9.571,0,0
35,6,0,1,4,4,0,3986.289,161.318,-29.024,38.425,37.168,9.137,0,0
36,6,0,1,5,5,0,3701.021,239.874,120.477,38.124,37.964,9.831,0,0
37,7,0,1,0,1,0,4341.138,68.618,109.343,37.852,37.04,9.454,0,0
38,7,0,1,1,3,0,4575.08,238.254,33.749,38.239,37.756,9.895,0,0
39,7,0,1,2,4,0,4148.748,283.201,32.499,38.638,38.456,9.961,0,0
40,8,0,1,0,0,0,4702.214,120.046,49.174,38.291,37.941,9.85,0,0
41,8,0,1,1,1,0,5043.742,145.972,57.736,38.268,37.837,9.833,0,0
42,8,0,1,2,3,0,5144.288,283.941,7.075,39.007,38.718,9.966,0,0
43,9,0,1,0,1,0,5767.544,71.515,91.736,39.234,35.527,9.649,0,0
44,9,0,1,1,3,0,5360.602,253.009,96.465,37.615,37.451,9.774,0,0
45,9,0,1,2,4,0,5767.099,264.012,93.89,39.429,36.495,9.728,0,0
46,9,0,1,3,5,0,5420.008,308.503,90.86,38.024,37.896,9.809,0,0
48,0,1,1,0,3,0,295.584,495.686,85.342,38.005,37.009,8.956,0,0
49,0,1,1,1,6,0,156.613,638.949,76.693,38.498,38.3,9.847,0,0
50,0,1,1,2,9,0,341.611,799.06,66.61,38.323,38.28,9.897,0,0
51,0,1,1,3,10,0,467.649,822.128,-0.799,39.308,37.709,9.875,0,0
52,0,1,1,4,11,0,115.967,824.164,-1.867,40.116,34.76,9.588,0,0
53,1,1,1,0,2,0,749.628,446.414,106.882,46.355,35.013,9.318,0,0
54,1,1,1,1,4,0,878.518,536.278,126.065,38.153,37.213,9.38,0,0
56,1,1,1,3,7,0,854.751,660.817,11.795,38.11,37.849,9.814,0,0
57,1,1,1,4,8,0,1140.003,692.02,8.741,38.81,38.697,9.938,0,0
58,1,1,1,5,9,0,611.771,727.796,-2.911,38.725,38.226,9.867,0,0
59,1,1,1,6,10,0,1031.579,763.595,7.901,38.954,38.601,9.944,0,0
60,1,1,1,7,11,0,1110.641,791.456,16.053,39.276,39.119,9.977,0,0
61,1,1,1,8,12,0,1164.31,797.592,95.177,43.022,25.674,8.807,0,0
62,1,1,1,9,13,0,809.511,803.765,102.614,38.734,38.252,9.871,0,0
63,1,1,1,10,14,0,1078.377,826.308,-10.673,40.296,28.949,8.335,0,0
64,2,1,1,0,4,0,1351.681,446.839,52.641,37.783,37.644,9.821,0,0
65,2,1,1,1,5,0,1326.578,566.506,68.969,38.156,37.33,9.193,0,0
66,2,1,1,2,7,0,1389.873,679.396,42.055,39.031,38.742,9.972,0,0
67,2,1,1,3,9,0,1572.765,735.665,133.831,38.513,38.292,9.923,0,0
68,2,1,1,4,12,0,1672.598,807.488,-30.881,39.245,38.639,9.986,0,0
69,3,1,1,0,1,0,2192.887,447.569,73.49,38.406,38.104,9.885,0,0
70,3,1,1,1,2,0,2247.496,465.229,134.499,38.512,38.39,9.936,0,0
71,3,1,1,2,3,0,1814.485,595.1,-1.833,38.717,38.3,9.951,0,0
72,3,1,1,3,5,0,2007.381,749.224,69.493,37.907,37.718,9.771,0,0
73,3,1,1,4,6,0,2079.593,817.286,17.345,38.575,38.302,9.933,0,0
