No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0.0,0.0,0.0,0.0,2.0,0.0,351.082,119.854,83.909,37.949,37.546,9.83,0.0,0.0
1,0.0,0.0,0.0,1.0,3.0,0.0,191.059,147.121,64.732,37.539,37.047,9.788,0.0,0.0
2,0.0,0.0,0.0,2.0,4.0,0.0,232.814,167.911,58.267,37.221,36.708,9.779,0.0,0.0
3,0.0,0.0,0.0,3.0,5.0,0.0,385.355,180.427,128.993,37.939,37.774,9.859,0.0,0.0
4,0.0,0.0,0.0,4.0,6.0,0.0,292.943,217.191,103.483,38.241,38.005,9.928,0.0,0.0
5,0.0,0.0,0.0,5.0,7.0,0.0,339.074,316.831,66.423,38.287,37.934,9.848,0.0,0.0
6,0.0,0.0,0.0,6.0,8.0,0.0,288.594,321.164,63.202,37.758,37.664,9.82,0.0,0.0
7,0.0,0.0,0.0,7.0,10.0,0.0,582.064,419.356,-6.993,39.853,29.622,9.041,0.0,0.0
9,1.0,0.0,0.0,1.0,2.0,0.0,844.453,147.194,31.24,37.809,37.668,9.828,0.0,0.0
10,1.0,0.0,0.0,2.0,3.0,0.0,803.642,175.406,64.462,38.187,37.758,9.888,0.0,0.0
11,1.0,0.0,0.0,3.0,5.0,0.0,682.233,322.852,90.873,38.4,38.139,9.889,0.0,0.0
12,1.0,0.0,0.0,4.0,6.0,0.0,782.056,369.074,51.306,38.794,38.454,9.981,0.0,0.0
14,2.0,0.0,0.0,0.0,1.0,0.0,1560.378,91.564,63.558,38.059,37.886,9.888,0.0,0.0
15,2.0,0.0,0.0,1.0,2.0,0.0,1562.006,190.106,111.882,38.503,38.127,9.901,0.0,0.0
16,2.0,0.0,0.0,2.0,3.0,0.0,1674.151,267.178,54.08,38.004,37.884,9.881,0.0,0.0
17,2.0,0.0,0.0,3.0,4.0,0.0,1595.775,278.667,125.019,38.659,38.293,9.942,0.0,0.0
18,2.0,0.0,0.0,4.0,5.0,0.0,1178.078,301.067,61.807,37.452,36.909,9.758,0.0,0.0
19,2.0,0.0,0.0,5.0,6.0,0.0,1318.454,318.843,77.876,37.262,36.9,9.733,0.0,0.0
20,2.0,0.0,0.0,6.0,7.0,0.0,1230.106,417.229,-1.757,40.243,32.935,9.434,0.0,0.0
21,3.0,0.0,0.0,0.0,0.0,0.0,2009.839,110.168,76.118,37.524,37.172,9.802,0.0,0.0
22,3.0,0.0,0.0,1.0,2.0,0.0,2300.989,204.515,125.409,38.928,38.265,9.973,0.0,0.0
23,3.0,0.0,0.0,2.0,3.0,0.0,1793.922,235.832,44.242,37.486,37.257,9.809,0.0,0.0
24,3.0,0.0,0.0,3.0,6.0,0.0,2042.428,365.81,52.685,38.234,38.064,9.858,0.0,0.0
25,4.0,0.0,0.0,0.0,0.0,0.0,2432.504,53.668,31.646,37.387,37.343,9.807,0.0,0.0
27,4.0,0.0,0.0,2.0,2.0,0.0,2686.346,141.658,63.774,38.319,37.939,9.853,0.0,0.0
