<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,1
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,0,0,0,0,396.655,18.359,112.869,33.214,33.075,9.227,0,0
1,0,0,0,1,1,0,202.995,52.95,5.808,33.202,33.144,9.235,0,0
2,0,0,0,2,2,0,74.895,99.616,27.46,33.268,33.115,9.24,0,0
4,0,0,0,4,4,0,77.515,233.557,8.125,34.924,34.765,9.372,0,0
6,0,0,0,6,6,0,570.014,269.506,11.568,33.61,33.531,9.263,0,0
7,1,0,0,0,0,0,702.736,20.237,43.348,32.918,32.772,9.227,0,0
8,1,0,0,1,1,0,919.381,44.491,63.717,33.389,33.238,9.274,0,0
9,1,0,0,2,2,0,776.752,54.084,-43.199,33.319,33.233,9.264,0,0
11,1,0,0,4,5,0,922.924,184.257,-38.815,33.459,33.39,9.305,0,0
12,1,0,0,5,7,0,918.741,383.694,7.189,33.2,32.989,9.213,0,0
13,2,0,0,0,1,0,1181.752,112.722,30.249,33.679,33.216,9.312,0,0
14,2,0,0,1,2,0,1442.147,164.883,-44.622,33.041,32.923,9.265,0,0
16,2,0,0,3,4,0,1253.549,307.152,-3.953,33.322,33.2,9.26,0,0
17,2,0,0,4,5,0,1327.578,345.909,-22.257,33.254,33.173,9.247,0,0
19,3,0,0,0,2,0,1992.077,64.394,96.101,32.711,32.672,9.183,0,0
20,3,0,0,1,3,0,2300.471,126.345,129.185,33.849,33.699,9.32,0,0
21,3,0,0,2,6,0,2293.34,378.089,9.973,34.685,34.266,9.351,0,0
22,3,0,0,3,7,0,2167.455,379.39,29.775,33.441,33.31,9.292,0,0
23,3,0,0,4,8,0,1940.433,386.588,40.864,33.632,33.56,9.271,0,0
24,4,0,0,0,0,0,2327.489,48.094,42.72,33.95,33.835,9.353,0,0
25,4,0,0,1,2,0,2869.149,127.024,-7.889,33.591,33.444,9.249,0,0
26,4,0,0,2,3,0,2620.78,210.938,-14.442,33.058,32.957,9.189,0,0
27,4,0,0,3,4,0,2875.52,263.329,-17.771,34.079,33.553,9.333,0,0
30,5,0,0,0,1,0,2977.367,23.247,-23.486,33.736,33.619,9.293,0,0
31,5,0,0,1,2,0,3039.952,38.621,127.131,30.67,30.625,8.854,0,0
32,5,0,0,2,3,0,3001.219,68.959,116.84,33.431,33.34,9.294,0,0
34,5,0,0,4,6,0,3416.323,170.936,1.243,33.771,33.469,9.278,0,0
35,5,0,0,5,7,0,2922.779,198.866,6.214,33.659,33.525,9.352,0,0
36,5,0,0,6,9,0,3404.629,282.296,86.137,33.881,33.666,9.32,0,0
37,5,0,0,7,10,0,3119.851,393.665,-43.302,33.456,33.404,9.307,0,0
