<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,2
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,1,0,1,0,290.268,24.766,72.852,32.515,32.385,9.116,0,0
1,0,0,1,1,2,0,369.446,33.94,100.074,31.897,31.862,9.123,0,0
2,0,0,1,2,3,0,80.3,100.046,10.023,31.97,31.911,9.055,0,0
3,0,0,1,3,5,0,126.382,161.557,-1.287,31.738,31.702,8.993,0,0
4,0,0,1,4,7,0,178.11,307.539,-4.798,31.924,31.857,9.041,0,0
5,0,0,1,5,8,0,46.845,344.685,21.885,32.474,32.459,9.12,0,0
6,0,0,1,6,9,0,401.057,377.233,74.479,32.296,32.205,9.143,0,0
7,0,0,1,7,10,0,545.419,418.969,-4.056,33.356,29.041,8.761,0,0
8,1,0,1,0,0,0,661.519,17.877,94.802,31.449,31.384,8.99,0,0
9,1,0,1,1,1,0,1025.594,29.106,133.367,31.69,31.513,9.043,0,0
10,1,0,1,2,2,0,925.671,40.27,108.306,31.958,31.836,9.043,0,0
11,1,0,1,3,3,0,754.737,46.399,-22.652,31.671,31.648,9.06,0,0
13,1,0,1,5,5,0,854.044,149.243,50.459,32.338,31.958,9.032,0,0
14,1,0,1,6,6,0,700.578,156.947,46.264,31.801,31.64,9.077,0,0
15,1,0,1,7,7,0,607.256,297.053,91.406,32.107,32.002,9.088,0,0
16,1,0,1,8,8,0,681.35,309.233,133.518,31.614,31.327,9.006,0,0
17,1,0,1,9,9,0,1160.013,325.058,99.604,32.917,32.439,9.265,0,0
18,1,0,1,10,10,0,1086.602,397.595,4.089,32.328,32.139,9.139,0,0
19,2,0,1,0,0,0,1700.898,185.285,23.541,32.258,32.225,9.141,0,0
20,2,0,1,1,1,0,1464.552,252.429,113.066,31.523,31.355,8.997,0,0
21,2,0,1,2,2,0,1194.45,290.956,-18.867,32.166,32.074,9.106,0,0
22,2,0,1,3,4,0,1287.777,330.135,116.615,32.207,32.07,9.029,0,0
23,3,0,1,0,0,0,2040.286,39.863,110.312,31.88,31.657,9.091,0,0
24,3,0,1,1,1,0,2208.502,127.6,79.965,31.826,31.605,9.076,0,0
26,3,0,1,3,3,0,2182.085,247.163,9.163,31.923,31.533,8.835,0,0
27,3,0,1,4,5,0,2043.607,331.91,68.472,32.551,32.37,9.663,0,0
28,3,0,1,5,5,0,2074.259,330.697,-0.8,32.534,32.233,9.733,0,0
29,3,0,1,6,7,0,1779.782,340.488,23.408,32.34,32.149,9.142,0,0
30,3,0,1,7,8,0,2020.066,371.331,42.448,31.967,31.917,9.056,0,0
31,4,0,1,0,1,0,2365.671,68.35,29.677,31.876,31.683,9.01,0,0
32,4,0,1,1,2,0,2673.719,172.458,12.072,31.375,31.124,8.942,0,0
33,4,0,1,2,3,0,2765.109,180.66,74.729,31.988,31.908,9.057,0,0
34,4,0,1,3,4,0,2465.971,223.009,30.015,31.694,31.575,9.053,0,0
35,4,0,1,4,5,0,2331.404,277.442,-13.04,32.466,32.348,9.104,0,0
36,4,0,1,5,6,0,2455.037,338.514,64.774,32.204,32.08,9.112,0,0
37,4,0,1,6,7,0,2611.85,420.3,-3.563,34.199,26.482,8.486,0,0
38,5,0,1,0,0,0,3361.767,104.289,86.587,31.954,31.808,9.039,0,0
39,5,0,1,1,1,0,3254.632,171.586,75.344,31.78,31.674,9.079,0,0
40,5,0,1,2,2,0,3200.385,212.717,-17.43,33.493,30.942,9.128,0,0
41,5,0,1,3,3,0,3416.718,331.735,-42.45,32.547,32.374,9.119,0,0
43,6,0,1,0,2,0,3536.647,226.386,92.062,32.163,32.097,9.109,0,0
44,6,0,1,1,3,0,3936.962,305.224,77.761,32.2,32.166,9.124,0,0
45,6,0,1,2,4,0,4007.873,307.969,35.012,32.191,31.963,9.094,0,0
46,7,0,1,0,1,0,4098.641,27.737,66.714,31.913,31.831,9.036,0,0
47,7,0,1,1,2,0,4515.135,54.476,32.956,32.265,32.12,9.043,0,0
48,7,0,1,2,3,0,4554.414,139.753,119.059,32.057,31.909,9.067,0,0
49,7,0,1,3,4,0,4467.107,345.368,30.231,32.296,32.236,9.148,0,0
50,7,0,1,4,5,0,4083.216,375.368,-25.107,32.672,32.387,9.138,0,0
51,8,0,1,0,1,0,4731.176,247.291,-10.168,31.719,31.554,9.054,0,0
52,8,0,1,1,2,0,4735.326,390.852,-7.46,31.769,31.702,8.997,0,0
53,9,0,1,0,0,0,5297.655,24.98,51.419,32.323,32.04,9.124,0,0
54,9,0,1,1,1,0,5508.932,333.304,103.747,31.75,31.619,9.067,0,0
55,9,0,1,2,2,0,5560.044,408.336,50.242,32.342,32.124,9.138,0,0
56,9,0,1,3,3,0,5609.577,417.925,-3.735,32.75,30.349,8.945,0,0
57,0,1,1,0,1,0,34.323,549.247,42.906,32.005,31.897,9.058,0,0
58,0,1,1,1,2,0,287.565,725.447,64.403,31.746,31.601,8.98,0,0
59,0,1,1,2,3,0,519.835,734.436,21.562,34.223,34.154,9.352,0,0
60,0,1,1,3,4,0,498.653,787.887,69.791,31.892,31.76,9.108,0,0
61,1,1,1,0,1,0,921.861,539.261,77.826,31.731,31.665,9.071,0,0
62,1,1,1,1,2,0,890.193,625.705,17.702,31.353,31.12,8.939,0,0
63,1,1,1,2,3,0,1060.248,673.8,102.964,31.944,31.86,9.044,0,0
64,1,1,1,3,4,0,1156.632,750.052,2.554,33.027,32.984,9.189,0,0
65,1,1,1,4,5,0,983.737,827.047,-4.152,33.125,28.716,8.675,0,0
66,2,1,1,0,0,0,1586.415,450.388,131.086,32.069,31.964,9.077,0,0
67,2,1,1,1,1,0,1353.39,544.888,116.417,31.855,31.675,9.09,0,0
69,2,1,1,3,3,0,1240.401,609.579,126.44,32.717,32.282,9.048,0,0
70,2,1,1,4,4,0,1314.999,679.135,-7.691,31.726,31.643,9.067,0,0
71,2,1,1,5,5,0,1650.818,705.257,25.273,31.99,31.859,9.051,0,0
72,2,1,1,6,8,0,1430.43,779.814,82.351,32.357,32.262,9.076,0,0
73,4,1,1,0,1,0,2662.69,437.49,78.168,32.497,32.329,9.105,0,0
75,5,1,1,0,0,0,3054.556,428.29,91.276,32.268,31.665,9.062,0,0
76,5,1,1,1,1,0,3297.287,460.679,61.846,32.507,32.2,9.008,0,0
77,5,1,1,2,2,0,2947.907,491.271,90.143,32.326,32.143,9.139,0,0
79,5,1,1,4,4,0,3315.326,718.143,112.536,32.066,31.968,9.077,0,0
80,6,1,1,0,0,0,3852.506,469.277,25.321,32.003,31.908,9.06,0,0
81,6,1,1,1,1,0,3732.812,534.441,67.749,31.955,31.702,9.024,0,0
82,6,1,1,2,2,0,3590.251,562.238,32.045,24.511,24.385,7.954,0,0
85,7,1,1,0,0,0,4554.818,507.603,133.867,32.753,32.609,9.181,0,0
86,7,1,1,1,1,0,4137.458,543.323,46.372,32.153,31.892,9.079,0,0
87,7,1,1,2,2,0,4365.572,594.252,80.503,31.487,31.418,9.001,0,0
88,7,1,1,3,3,0,4533.188,650.195,51.356,31.951,31.761,9.116,0,0
89,7,1,1,4,5,0,4136.724,703.055,89.419,31.992,31.91,9.058,0,0
90,7,1,1,5,6,0,4404.891,702.759,14.234,31.472,31.4,8.996,0,0
91,7,1,1,6,7,0,4357.883,724.593,61.061,31.817,31.678,9.085,0,0
92,7,1,1,7,8,0,4236.989,742.507,-4.796,32.402,32.296,9.087,0,0
93,7,1,1,8,9,0,4137.999,773.045,63.079,31.927,31.802,9.034,0,0
94,7,1,1,9,10,0,4204.01,778.867,42,32.115,32.025,9.092,0,0
95,7,1,1,10,11,0,4302.79,825.436,-1.798,32.227,30.746,8.925,0,0
96,8,1,1,0,0,0,5110.019,515.758,-15.287,32.145,32.044,9.099,0,0
97,8,1,1,1,1,0,4828.413,532.124,-9.059,31.777,31.708,9.084,0,0
98,8,1,1,2,2,0,4629.578,670.613,38.823,32.289,32.154,9.135,0,0
99,8,1,1,3,3,0,4771.661,731.517,64.861,32.098,32.039,9.092,0,0
101,9,1,1,0,2,0,5758.46,430.916,127.333,32.378,32.193,9.069,0,0
102,9,1,1,1,4,0,5281.193,665.847,61.095,32.335,32.292,9.161,0,0
103,9,1,1,2,5,0,5535.178,719.722,-1.293,32.18,31.853,8.995,0,0
104,9,1,1,3,6,0,5507.288,771.717,12.394,31.982,31.924,9.059,0,0
105,9,1,1,4,7,0,5354.065,772.191,26.784,32.071,31.941,9.074,0,0
106,0,2,1,0,0,0,47.202,834.11,48.98,32.511,32.341,9.109,0,0
107,0,2,1,1,1,0,115.47,853.778,25.218,32.272,32.227,9.143,0,0
108,0,2,1,2,2,0,415.51,904.269,31.47,31.691,31.66,9.064,0,0
109,0,2,1,3,3,0,255.63,1001.28,40.219,31.709,31.643,9.065,0,0
110,0,2,1,4,4,0,215.86,1039.284,-31.075,31.881,31.649,9.006,0,0
112,0,2,1,6,5,0,75.406,1122.423,106.757,32.707,32.354,9.488,0,0
113,0,2,1,7,6,0,201.726,1130.441,47.4,32.101,31.873,9.069,0,0
117,1,2,1,0,1,0,711.782,1033.827,37.515,32.138,31.941,9.083,0,0
118,1,2,1,1,2,0,1093.077,1036.879,102.5,32.024,31.94,9.067,0,0
119,1,2,1,2,3,0,1148.268,1131.302,7.082,32.288,32.066,9.123,0,0
120,1,2,1,3,4,0,945.372,1162.94,55.999,31.995,31.687,9.027,0,0
121,1,2,1,4,5,0,774.566,1227.806,7.561,32.483,32.36,9.108,0,0
122,2,2,1,0,0,0,1219.662,985.264,46.76,31.552,31.507,9.023,0,0
123,2,2,1,1,1,0,1706.065,1004.501,-16.668,31.994,31.902,9.057,0,0
124,2,2,1,2,2,0,1609.3,1037.449,107.394,32.005,31.85,9.052,0,0
125,3,2,1,0,2,0,1992.891,839.137,81.945,31.996,31.888,9.056,0,0
126,3,2,1,1,3,0,2299.377,873.626,116.048,32.531,32.421,9.123,0,0
127,3,2,1,2,4,0,1831.421,899.941,35.901,32.185,32.072,9.109,0,0
128,3,2,1,3,5,0,2060.932,923.945,90.093,32.305,32.207,9.145,0,0
129,3,2,1,4,6,0,2065.808,1026.545,-8.145,31.308,31.303,8.959,0,0
130,3,2,1,5,7,0,2271.331,1068.639,129.96,31.81,31.7,9.087,0,0
131,3,2,1,6,8,0,2156.742,1099.648,-23.086,32.079,31.859,9.063,0,0
132,4,2,1,0,1,0,2561.824,952.398,109.683,31.926,31.791,9.032,0,0
133,4,2,1,1,2,0,2469.296,983.136,-43.571,32.376,32.073,9.22,0,0
134,4,2,1,2,2,0,2495.482,964.207,114.538,32.218,31.921,9.264,0,0
135,4,2,1,3,3,0,2591.976,1018.956,115.392,32.049,31.947,9.072,0,0
136,4,2,1,4,4,0,2653.643,1070.853,96.497,31.686,31.565,8.966,0,0
137,4,2,1,5,5,0,2571.753,1105.109,56.669,31.875,31.742,9.018,0,0
138,4,2,1,6,6,0,2661.036,1108.953,37.535,31.234,31.11,9.006,0,0
139,4,2,1,7,7,0,2786.62,1219.958,54.794,32.328,32.239,9.069,0,0
140,5,2,1,0,0,0,3077.501,1017.983,29.285,31.789,31.737,9.09,0,0
141,5,2,1,1,1,0,3386.631,1035.164,110.113,32.602,32.354,9.123,0,0
142,5,2,1,2,2,0,3396.379,1092.901,44.626,32.005,31.888,9.057,0,0
143,6,2,1,0,1,0,3629.414,908.076,53.75,32.099,31.964,9.081,0,0
144,6,2,1,1,2,0,3803.859,997.653,86.26,31.827,31.771,9.015,0,0
145,6,2,1,2,3,0,3900.195,1013.249,113.734,31.7,31.669,8.983,0,0
146,6,2,1,3,4,0,3590.78,1077.557,97.012,32.194,32.064,9.109,0,0
147,6,2,1,4,5,0,3938.807,1085.885,129.105,31.918,31.86,9.126,0,0
148,6,2,1,5,6,0,4015.024,1171.528,23.782,32.283,32.023,9.116,0,0
149,7,2,1,0,1,0,4603.034,846.935,106.627,32.384,32.34,9.175,0,0
150,7,2,1,1,3,0,4492.842,1057.504,60.444,31.336,31.209,8.949,0,0
151,7,2,1,2,4,0,4413.709,1068.332,27.302,30.84,30.778,8.901,0,0
152,7,2,1,3,5,0,4356.123,1169.345,2.66,31.965,31.821,9.042,0,0
153,7,2,1,4,7,0,4577.109,1205.83,33.782,32.215,32.049,9.11,0,0
155,8,2,1,1,2,0,4903.811,912.129,54.27,31.94,31.835,9.04,0,0
156,8,2,1,2,3,0,4633.987,996.314,131.241,32.224,32.19,9.131,0,0
157,8,2,1,3,4,0,5100.247,1019.513,60.446,31.89,31.793,9.027,0,0
158,9,2,1,0,0,0,5664.088,916.931,106.391,32.763,32.475,9.163,0,0
159,9,2,1,1,1,0,5237.476,930.457,-16.853,3.7,2.111,2.546,0,0
161,9,2,1,3,2,0,5353.314,1093.469,51.561,32.214,32.163,9.126,0,0
162,9,2,1,4,3,0,5240.734,1196.397,64.266,32.612,32.431,9.136,0,0
163,0,3,1,0,0,0,339.296,1247.241,78.049,31.904,31.695,9.1,0,0
164,0,3,1,1,1,0,185.975,1251.698,31.793,32.207,32.064,9.111,0,0
165,0,3,1,2,2,0,574.937,1329.419,120.226,32.107,32.052,9.095,0,0
166,0,3,1,3,3,0,320.472,1401.591,112.298,32.141,31.5,9.021,0,0
167,0,3,1,4,4,0,397.769,1409.351,33.209,31.694,31.554,9.05,0,0
168,0,3,1,5,5,0,64.935,1482.257,68.827,31.835,31.747,9.013,0,0
169,0,3,1,6,6,0,97.596,1498.868,42.155,32.263,32.174,9.134,0,0
170,0,3,1,7,7,0,450.989,1512.693,0.026,31.838,31.696,9.006,0,0
171,0,3,1,8,8,0,323.886,1618.507,64.367,32.546,32.41,9.124,0,0
172,0,3,1,9,9,0,245.711,1643.379,-4.337,32.897,27.927,8.605,0,0
173,1,3,1,0,2,0,1149.62,1438.072,-8.721,31.977,31.729,9.031,0,0
174,1,3,1,1,3,0,1058.504,1486.656,68.508,31.694,31.54,8.963,0,0
175,1,3,1,2,4,0,794.875,1611.412,89.68,32.04,31.977,9.075,0,0
176,2,3,1,0,0,0,1305.588,1313.812,36.821,32.217,32.179,9.128,0,0
177,2,3,1,1,1,0,1308.717,1410.799,6.7,31.8,31.7,9.001,0,0
178,2,3,1,2,3,0,1274.858,1485.431,105.08,31.947,31.839,9.042,0,0
179,3,3,1,0,0,0,2102.832,1242.083,59.857,31.811,31.606,8.99,0,0
180,3,3,1,1,1,0,2031.564,1326.562,125.314,31.736,31.72,9.08,0,0
181,3,3,1,2,2,0,1858.473,1376.87,5.982,31.745,31.523,9.053,0,0
182,3,3,1,3,3,0,1959.897,1417.466,75.45,31.903,31.878,9.041,0,0
183,3,3,1,4,4,0,1831.476,1433.238,80.574,32.514,32.5,9.132,0,0
184,3,3,1,5,5,0,2311.151,1515.411,27.536,32.573,32.408,9.127,0,0
185,3,3,1,6,6,0,1995.474,1520.298,84.06,31.856,31.583,8.993,0,0
186,3,3,1,7,7,0,1804.258,1550.944,-22.649,32.405,32.27,9.168,0,0
187,4,3,1,0,2,0,2502.289,1550.876,73.587,32.002,31.961,9.067,0,0
188,4,3,1,1,3,0,2621.865,1550.595,1.28,31.892,31.793,9.028,0,0
189,4,3,1,2,4,0,2421.167,1612.686,0.215,32.213,32.131,9.121,0,0
190,5,3,1,0,0,0,3072.157,1538.419,-26.937,32.464,32.188,9.081,0,0
191,5,3,1,1,1,0,3140.548,1593.256,-10.092,32.093,32.036,9.091,0,0
192,6,3,1,0,0,0,3904.133,1345.747,88.222,31.827,31.658,8.999,0,0
193,6,3,1,1,1,0,3950.269,1395.176,81.09,31.846,31.647,9,0,0
194,6,3,1,2,2,0,3980.951,1434.979,17.987,31.918,31.742,9.109,0,0
196,6,3,1,4,4,0,3613.657,1459.642,36.723,31.595,31.399,9.013,0,0
197,7,3,1,0,1,0,4201.697,1245.549,81.333,32.44,32.039,9.139,0,0
198,7,3,1,1,2,0,4375.937,1287.159,60.211,32.582,32.547,9.148,0,0
199,7,3,1,2,3,0,4320.764,1312.673,103.786,32.278,32.165,9.052,0,0
200,7,3,1,3,4,0,4597.134,1331.671,42.181,32.251,32.107,9.123,0,0
201,7,3,1,4,5,0,4132.834,1340.796,30.343,32.111,31.966,9.083,0,0
202,7,3,1,5,6,0,4544.343,1384.026,-37.734,32.12,32.074,9.1,0,0
203,7,3,1,6,7,0,4149.397,1453.015,124.373,32.241,32.059,9.115,0,0
204,7,3,1,7,8,0,4513.985,1463.025,9.372,31.469,31.403,8.996,0,0
206,7,3,1,9,10,0,4303.172,1527.01,47.673,31.581,31.39,9.01,0,0
207,7,3,1,10,11,0,4263.964,1613.278,25.024,31.794,31.651,9.078,0,0
208,8,3,1,0,1,0,5112.376,1369.43,-4.37,32.163,32.136,9.115,0,0
209,8,3,1,1,2,0,4759.177,1389.867,77.133,32.186,32.014,9.1,0,0
211,8,3,1,3,3,0,4972.224,1443.381,-10.252,31.588,31.437,8.934,0,0
212,8,3,1,4,4,0,4852.299,1551.2,84.014,32.598,32.141,9.53,0,0
213,8,3,1,5,4,0,4848.002,1520.831,39.525,32.421,32.385,9.744,0,0
214,8,3,1,6,5,0,5095.445,1523.008,73.015,32.072,32.02,9.085,0,0
215,8,3,1,7,6,0,5005.258,1573.992,36.861,31.796,31.609,9.072,0,0
216,8,3,1,8,7,0,5114.314,1586.848,14.338,31.984,31.853,9.049,0,0
217,8,3,1,9,8,0,4996.006,1620.963,68.25,32.609,32.318,9.203,0,0
218,9,3,1,0,0,0,5503.177,1434.85,120.455,31.438,31.281,8.974,0,0
219,9,3,1,1,1,0,5642.527,1437.245,27.993,31.606,31.495,9.029,0,0
220,9,3,1,2,2,0,5481.571,1609.935,103.501,32.572,32.461,9.134,0,0
221,0,4,1,0,4,0,515.293,1848.427,114.819,31.857,31.805,9.024,0,0
222,0,4,1,1,5,0,231.234,2001.842,85.06,31.583,31.534,8.947,0,0
223,1,4,1,0,0,0,933.598,1738.022,126.011,31.875,31.777,9.023,0,0
224,1,4,1,1,2,0,1013.196,2049.122,-0.98,32.927,31.34,9.025,0,0
225,2,4,1,0,0,0,1716.898,1659.077,111.454,32.48,32.433,9.118,0,0
226,3,4,1,0,1,0,1825.949,1761.37,-8.964,31.926,31.8,9.033,0,0
227,3,4,1,1,2,0,1882.396,1776.537,15.168,32.47,32.373,9.108,0,0
228,3,4,1,2,3,0,1963.376,1796.772,11.305,31.817,31.751,9.011,0,0
229,3,4,1,3,4,0,2194.146,1994.165,120.562,32.13,32.079,9.102,0,0
230,4,4,1,0,0,0,2651.121,1727.029,84.522,31.938,31.761,9.029,0,0
231,4,4,1,1,1,0,2467.993,1946.851,111.928,32.464,32.376,9.191,0,0
232,4,4,1,2,2,0,2628.028,1975.881,52.66,32.305,32.191,9.059,0,0
233,4,4,1,3,3,0,2336.306,2008.568,108.637,32.422,32.289,9.173,0,0
234,4,4,1,4,4,0,2526.301,2010.091,100.162,32.104,31.961,9.081,0,0
235,5,4,1,0,0,0,3267.922,1837.974,-8.956,31.418,31.39,8.987,0,0
236,5,4,1,1,1,0,3149.211,1848.464,119.262,31.605,31.452,9.022,0,0
237,5,4,1,2,2,0,2986.856,1919.013,49.222,32.339,32.068,9.13,0,0
238,5,4,1,3,3,0,3153.706,1954.959,23.147,31.927,31.793,9.117,0,0
239,5,4,1,4,4,0,3369.523,1959.396,54.66,32.354,32.263,9.159,0,0
240,5,4,1,5,5,0,3281.939,1979.91,38.468,32.093,31.918,9.074,0,0
241,5,4,1,6,6,0,3378.483,2009.607,97.321,32.354,32.326,9.168,0,0
242,5,4,1,7,7,0,3463.072,2051.174,-4.456,33.871,28.829,8.723,0,0
243,6,4,1,0,0,0,3895.001,1655.465,30.278,32.116,31.975,9.085,0,0
245,6,4,1,2,3,0,3773.907,1797.831,-39.574,31.787,29.717,8.965,0,0
246,6,4,1,3,4,0,3692.976,1846.474,-26.381,32.106,32.071,9.097,0,0
248,7,4,1,0,0,0,4050.787,1708.411,55.356,32.258,32.111,9.125,0,0
249,7,4,1,1,2,0,4112.396,2034.033,-25.641,32.645,32.535,9.155,0,0
250,8,4,1,0,2,0,4655.591,1742.104,28.74,32.183,32.02,9.101,0,0
251,8,4,1,1,3,0,4762.325,1790.82,16.058,31.857,31.782,9.021,0,0
252,8,4,1,2,4,0,5160.152,1805.525,-30.236,32.694,32.507,9.158,0,0
253,8,4,1,3,5,0,5105.558,1827.301,-30.157,32.286,32.176,9.138,0,0
254,8,4,1,4,6,0,4783.106,1852.04,28.285,32.125,31.974,9.086,0,0
255,8,4,1,5,7,0,4908.577,1900.925,3.383,31.644,31.558,9.043,0,0
256,8,4,1,6,8,0,4861.82,1921.729,54.215,31.795,31.43,9.046,0,0
257,8,4,1,7,9,0,4634.458,1928.646,59.861,31.91,31.775,9.028,0,0
258,8,4,1,8,10,0,4972.234,1928.857,-27.371,31.672,31.506,9.04,0,0
259,8,4,1,9,12,0,5140.33,2042.376,31.492,33.017,32.758,9.239,0,0
260,9,4,1,0,0,0,5216.593,1678.219,127.51,32.961,32.277,9.418,0,0
261,9,4,1,1,1,0,5627.697,1872.245,35.711,32.073,31.88,9.065,0,0
262,9,4,1,2,2,0,5462.633,1931.775,35.591,31.782,31.67,8.995,0,0
263,9,4,1,3,3,0,5218.258,1999.719,57.212,32.567,32.484,9.137,0,0
264,0,5,1,0,0,0,75.018,2057.721,40.15,32.144,31.909,9.08,0,0
265,0,5,1,1,1,0,557.618,2116.876,-40.391,32.356,32.19,9.15,0,0
267,1,5,1,0,1,0,1052.943,2170.582,-34.359,32.087,31.943,9.076,0,0
268,1,5,1,1,2,0,651.266,2178.53,40.27,32.371,32.249,9.16,0,0
269,1,5,1,2,3,0,818.737,2182.567,59.664,32.28,32.241,9.146,0,0
270,1,5,1,3,4,0,1061.866,2322.518,-39.431,32.007,31.977,9.07,0,0
271,2,5,1,0,0,0,1279.523,2099.306,83.914,31.714,31.603,9.06,0,0
273,2,5,1,2,2,0,1491.218,2220.864,-12.976,31.577,31.475,9.022,0,0
274,2,5,1,3,3,0,1246.475,2229.067,-9.522,31.862,31.711,9.012,0,0
275,2,5,1,4,4,0,1393.809,2350.502,59.2,31.959,31.732,9.028,0,0
276,2,5,1,5,5,0,1737.421,2375.531,93.724,32.131,30.684,8.903,0,0
277,3,5,1,0,0,0,2289.932,2093.075,133.42,32.435,32.282,9.09,0,0
278,3,5,1,1,1,0,1832.049,2171.921,68.138,31.905,31.564,9.081,0,0
279,3,5,1,2,2,0,1800.415,2282.48,67.668,31.7,31.63,9.061,0,0
280,3,5,1,3,4,0,2069.084,2369.933,84.152,32.179,32.151,9.119,0,0
281,3,5,1,4,5,0,1824.813,2375.194,10.61,32.315,32.279,9.073,0,0
282,3,5,1,5,7,0,1894.583,2428.636,117.14,32.175,32.076,9.108,0,0
283,4,5,1,0,0,0,2786.714,2184.02,124.038,32.019,31.89,9.059,0,0
284,4,5,1,1,1,0,2749.086,2278.906,1.971,31.663,31.525,9.041,0,0
285,4,5,1,2,2,0,2627.538,2320.564,43.23,31.711,31.6,9.059,0,0
286,4,5,1,3,3,0,2331.072,2346.565,72.707,32.284,32.234,9.145,0,0
287,4,5,1,4,4,0,2584.821,2385.346,113.253,32.293,32.245,9.149,0,0
288,5,5,1,0,1,0,3141.547,2273.334,68.895,31.806,31.693,9.001,0,0
289,5,5,1,1,2,0,3464.566,2419.389,83.373,32.885,32.008,9.113,0,0
290,6,5,1,0,2,0,3515.655,2079.376,65.897,32.215,32.066,9.112,0,0
291,6,5,1,1,3,0,3866.348,2090.05,108.445,31.534,31.496,9.019,0,0
293,6,5,1,3,5,0,4033.011,2212.894,132.299,32.213,31.993,9.101,0,0
