<ImageInformation>
ImageNumX,10
ImageNumY,13
ImageNumZ,1
ImageSizeX,2500
ImageSizeY,1800
OverlapX,100
OverlapY,100
UmPerPixelX,0.24
UmPerPixelY,0.24
UmPerLayerZ,1000
ImageFormat,1
ImageQuality,10
</ImageInformation>
<GrabPositionInformation>
XNo,YNo,ZNo,PosX[nm],PosY[nm],PosZ[nm]
</GrabPositionInformation>
<DepthImageInformation>
ImageNumZ,0
ImageSizeX,0
ImageSizeY,0
UmPerPixelX,0
UmPerPixelY,0
UmPerLayerZ,0
ImageFormat,0
ImageQuality,0
</DepthImageInformation>
<Result>
ProcArea,30551040
</Result>
<ResultDatas>
No,ImageNoX,ImageNoY,ImageNoZ,ElpsLabel,ObjLabel,Average,GravX,GravY,Angle,MjrAx,MnrAx,X2,Status,DepthAve
0,0,0,0,0,0,0,351.554,31.507,98.423,30.426,30.187,8.841,0,0
1,0,0,0,1,1,0,482.121,142.05,6.25,30.66,30.497,9.826,0,0
2,0,0,0,2,1,0,505.871,134.864,86.713,30.818,30.653,9.769,0,0
3,0,0,0,3,2,0,189.933,196.571,98.584,30.203,30.035,8.786,0,0
4,0,0,0,4,3,0,434.018,248.739,111.867,30.568,30.444,8.899,0,0
5,0,0,0,5,4,0,497.529,391.614,-20.908,31.384,31.212,8.957,0,0
6,1,0,0,0,0,0,858.07,92.64,68.83,30.002,29.714,8.797,0,0
7,1,0,0,1,1,0,817.824,126.43,43.34,30.532,30.308,8.874,0,0
8,1,0,0,2,2,0,1099.919,257.087,94.367,30.834,30.804,8.904,0,0
9,1,0,0,3,3,0,866.672,307.715,61.616,30.418,30.232,8.846,0,0
10,1,0,0,4,4,0,1040.435,308.736,115.97,30.284,30.253,8.83,0,0
11,1,0,0,5,5,0,678.712,379.958,127.37,30.787,30.646,8.874,0,0
12,2,0,0,0,0,0,1412.257,203.272,74.377,30.574,30.443,8.9,0,0
13,2,0,0,1,1,0,1652.066,231.435,47.859,30.775,30.644,8.872,0,0
14,2,0,0,2,2,0,1678.152,259.082,15.564,30.685,30.585,8.851,0,0
15,2,0,0,3,3,0,1189.744,339.564,-20.953,30.515,30.467,8.895,0,0
16,2,0,0,4,4,0,1729.202,373.023,-22.242,30.976,30.941,8.859,0,0
18,3,0,0,1,1,0,2049.409,250.082,94.693,30.222,30.215,8.815,0,0
20,4,0,0,0,1,0,2408.429,31.592,95.889,30.295,30.206,8.825,0,0
22,4,0,0,2,3,0,2711.759,155.482,68.431,30.446,30.286,8.858,0,0
23,4,0,0,3,4,0,2652.311,214.351,73.259,30.586,30.51,8.912,0,0
24,4,0,0,4,5,0,2533.243,221.587,79.867,30.283,30.106,8.808,0,0
26,5,0,0,0,1,0,3341.117,196.513,18.938,30.728,30.453,8.924,0,0
27,5,0,0,1,2,0,2932.868,235.09,-3.831,30.439,30.365,8.869,0,0
28,5,0,0,2,3,0,2976.172,378.583,133.166,30.848,30.76,8.899,0,0
29,6,0,0,0,0,0,3687.279,68.752,52.479,30.392,30.268,8.848,0,0
30,6,0,0,1,2,0,3899.429,200.094,74.734,30.356,30.201,8.833,0,0
32,6,0,0,3,4,0,3501.858,214.523,63.165,30.427,30.323,8.861,0,0
34,6,0,0,5,6,0,3773.21,270.634,-33.91,30.232,30.142,8.806,0,0
35,6,0,0,6,7,0,3526.77,273.118,29.791,30.246,30.128,8.806,0,0
37,7,0,0,0,0,0,4546.024,62.58,-18.076,31.041,30.796,8.933,0,0
38,7,0,0,1,1,0,4184.08,69.899,43.714,30.716,30.612,8.859,0,0
40,7,0,0,3,3,0,4170.267,197.019,49.315,30.091,29.885,8.835,0,0
41,7,0,0,4,4,0,4346.526,329.602,106.308,30.475,30.26,8.859,0,0
42,7,0,0,5,5,0,4471.543,329.905,38.126,31.056,30.858,8.944,0,0
43,8,0,0,0,0,0,4825.056,89.654,48.38,30.044,29.739,9.279,0,0
45,8,0,0,2,2,0,4919.395,280.693,-17.131,30.207,30.107,8.798,0,0
46,8,0,0,3,3,0,4654.618,307.376,13.594,30.638,30.443,8.91,0,0
47,8,0,0,4,4,0,4759.53,366.37,61.935,30.952,30.571,9.763,0,0
48,8,0,0,5,4,0,4746.235,344.978,58.132,30.656,30.445,9.815,0,0
50,9,0,0,1,3,0,5580.601,83.197,65.331,30.475,30.315,8.867,0,0
51,9,0,0,2,4,0,5495.984,104.894,55.116,30.439,30.261,8.854,0,0
52,9,0,0,3,5,0,5631.974,144.923,123.182,30.398,30.319,8.856,0,0
53,9,0,0,4,6,0,5253.053,243.191,53.811,30.013,29.747,8.803,0,0
54,9,0,0,5,7,0,5297.948,258.447,-19.494,30.665,30.421,8.91,0,0
55,9,0,0,6,8,0,5684.188,288.265,130.793,30.65,30.574,8.93,0,0
57,9,0,0,8,10,0,5550.14,328.062,-11.561,30.441,30.349,8.867,0,0
58,0,1,0,0,0,0,101.409,495.968,-26.525,30.442,30.394,8.874,0,0
59,0,1,0,1,1,0,156.855,502.193,32.185,29.866,29.649,8.768,0,0
60,0,1,0,2,2,0,88.114,780.343,78.348,30.48,30.376,8.877,0,0
61,0,1,0,3,3,0,383.759,797.061,-31.484,30.644,30.543,8.839,0,0
62,1,1,0,0,0,0,1000.929,441.873,113.335,31.123,30.923,8.963,0,0
